"","FNA.name","GenandSpec","Relationship","Phylotype","FinalGroup","hb","GCPercent","Size","phage_seqname","max_score","max_score_group","length.checkv","hallmark","rd","phage.filt","checkv.trimmed","checkv.split","checkv.contigs","vib.frag.count"
"14","BiAsteroides_ESL0170.fna","Bifidobacterium asteroides","Core","Bifidobacterium spp.","Bifidobacterium asteroides","from_hb","60.12",2175262,"QGLH01000003.1||0_partial_1","0.913","dsDNAphage","46614","4","rd1","phage_pass","trimmed_by_checkv","no","1","1"
"15","BiAsteroides_ESL0198.fna","Bifidobacterium asteroides","Core","Bifidobacterium spp.","Bifidobacterium asteroides","from_hb","59.7",2235610,"QGLJ01000007.1||0_partial_1","0.9","dsDNAphage","34318","5","rd1","phage_pass","trimmed_by_checkv","no","1","1"
"16","BiAsteroides_ESL0199.fna","Bifidobacterium asteroides","Core","Bifidobacterium spp.","Bifidobacterium asteroides","from_hb","59.06",2167340,"no_phage","NA","NA","NA","NA","NA","no_phage","NA","NA","NA","NA"
"17","BiAsteroides_ESL0200.fna","Bifidobacterium asteroides","Core","Bifidobacterium spp.","Bifidobacterium asteroides","from_hb","59.55",1933421,"no_phage","NA","NA","NA","NA","NA","no_phage","NA","NA","NA","NA"
"18","BiAsteroides_Hma3.fna","Bifidobacterium asteroides","Core","Bifidobacterium spp.","Bifidobacterium asteroides","from_hb","59.24",2245218,"no_phage","NA","NA","NA","NA","NA","no_phage","NA","NA","NA","NA"
"19","BiAsteroides_VRA9sqn.fna","Bifidobacterium asteroides","Core","Bifidobacterium spp.","Bifidobacterium asteroides","from_hb","60.45",2140182,"WKKW01000001.1||0_partial_1","0.907","dsDNAphage","36917","5","rd1","phage_pass","trimmed_by_checkv","no","1","1"
"20","BiAsteroides_W8102.fna","Bifidobacterium asteroides","Core","Bifidobacterium spp.","Bifidobacterium asteroides","from_hb","60.64",2057523,"no_phage","NA","NA","NA","NA","NA","no_phage","NA","NA","NA","NA"
"21","BiAsteroides_W8111.fna","Bifidobacterium asteroides","Core","Bifidobacterium spp.","Bifidobacterium asteroides","from_hb","59.54",2241614,"VMHJ01000002.1||0_partial_1","0.92","dsDNAphage","37691","5","rd1","phage_pass","trimmed_by_checkv","no","1","1"
"22","BiCoryneforme_Bma6.fna","Bifidobacterium coryneforme","Core","Bifidobacterium spp.","Bifidobacterium coryneforme","from_hb","60.15",1749707,"no_phage","NA","NA","NA","NA","NA","no_phage","NA","NA","NA","NA"
"23","BiCoryneforme_LMG18911.fna","Bifidobacterium coryneforme","Core","Bifidobacterium spp.","Bifidobacterium coryneforme","from_hb","NA",1755151,"CP007287.1||0_partial_1","0.94","dsDNAphage","23954","1","rd1","phage_pass","trimmed_by_checkv","no","1","1"
"24","BiIndicum_ESL0197.fna","Bifidobacterium indicum","Core","Bifidobacterium spp.","Bifidobacterium indicum","from_hb","60.58",1715238,"QGLI01000005.1||0_partial","0.933","dsDNAphage","10575","1","rd1","phage_pass","same_as_vs2","no","1","1"
"25","BoApis_SME1.fna","Bombella apis","Core","Acetobacter","Bombella apis","from_hb","59.56",2086297,"WHNS01000010.1||0_partial_1","0.94","dsDNAphage","33641","9","rd1","phage_pass","trimmed_by_checkv","no","1","1"
"26","BoApis_SME1.fna","Bombella apis","Core","Acetobacter","Bombella apis","from_hb","59.56",2086297,"WHNS01000008.1||full","0.973","dsDNAphage","29504","8","rd1","phage_pass","same_as_vs2","no","1","1"
"27","BoApis_SME1.fna","Bombella apis","Core","Acetobacter","Bombella apis","from_hb","59.56",2086297,"WHNS01000003.1||0_partial_1","0.9","dsDNAphage","27634","13","rd1","phage_pass","trimmed_by_checkv","no","1","1"
"28","BoApis_SME1.fna","Bombella apis","Core","Acetobacter","Bombella apis","from_hb","59.56",2086297,"WHNS01000006.1||0_partial_1","0.907","dsDNAphage","36754","16","rd1","phage_pass","trimmed_by_checkv","no","1","1"
"29","FrPerrara_ESL0167.fna","Frischella perrara","Core","Frischella perrara","Frischella perrara","from_hb","34.01",2558525,"QGLM01000017.1||0_partial_1","0.9","dsDNAphage","16530","10","rd1","phage_pass","trimmed_by_checkv","no","1","1"
"30","FrPerrara_PEB0191.fna","Frischella perrara","Core","Frischella perrara","Frischella perrara","from_hb","34.12",2692351,"CP009056.1||0_partial_1","0.88","dsDNAphage","25573","8","rd2","phage_pass","trimmed_by_checkv","no","1","1"
"31","FrPerrara_PEB0191.fna","Frischella perrara","Core","Frischella perrara","Frischella perrara","from_hb","34.12",2692351,"CP009056.1||1_partial_1","0.927","dsDNAphage","14373","3","rd1","phage_pass","trimmed_by_checkv","no","1","NA"
"32","GiApicola_A1212.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","34",2942700,"NARO01000030.1||full","0.98","dsDNAphage","30221","13","rd1","phage_pass","same_as_vs2","no","1","1"
"33","GiApicola_A1212.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","34",2942700,"NARO01000048.1||full","0.987","dsDNAphage","14235","6","rd1","phage_pass","same_as_vs2","no","1","1"
"34","GiApicola_A1212.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","34",2942700,"NARO01000021.1||full","0.987","dsDNAphage","43485","16","rd1","phage_pass","same_as_vs2","no","1","1"
"35","GiApicola_A1212.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","34",2942700,"NARO01000026.1||full_1","0.84","dsDNAphage","14087","9","rd2","phage_pass","trimmed_by_checkv","no","1","1"
"36","GiApicola_A124.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.56",3144522,"MZNE01000010.1||full_1","0.88","dsDNAphage","20592","2","rd2","phage_pass","trimmed_by_checkv","no","1","1"
"37","GiApicola_A124.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.56",3144522,"MZNE01000088.1||full","0.9","dsDNAphage","7793","2","rd1","phage_pass","same_as_vs2","no","1","1"
"38","GiApicola_A124.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.56",3144522,"MZNE01000019.1||full_1","0.913","dsDNAphage","27817","13","rd1","phage_pass","trimmed_by_checkv","no","1","1"
"39","GiApicola_A124.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.56",3144522,"MZNE01000078.1||full","0.993","dsDNAphage","10044","1","rd1","phage_pass","same_as_vs2","no","1","NA"
"40","GiApicola_A124.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.56",3144522,"MZNE01000041.1||full_1","0.953","dsDNAphage","21700","12","rd1","phage_pass","trimmed_by_checkv","no","1","1"
"41","GiApicola_A224.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.59",3136687,"MZNF01000031.1||full_1","0.947","dsDNAphage","20605","2","rd1","phage_pass","trimmed_by_checkv","no","1","1"
"42","GiApicola_A224.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.59",3136687,"MZNF01000023.1||full_1","0.913","dsDNAphage","27817","13","rd1","phage_pass","trimmed_by_checkv","no","1","1"
"43","GiApicola_A224.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.59",3136687,"MZNF01000018.1||full_1","0.893","dsDNAphage","21700","12","rd2","phage_pass","trimmed_by_checkv","no","1","1"
"44","GiApicola_A224.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.59",3136687,"MZNF01000033.1||full_1","1","dsDNAphage","28522","1","rd1","phage_pass","trimmed_by_checkv","no","1","1"
"45","GiApicola_A712.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.58",3143865,"NARP01000001.1||0_partial_1","0.9","dsDNAphage","21700","12","rd1","phage_pass","trimmed_by_checkv","no","1","1"
"46","GiApicola_A712.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.58",3143865,"NARP01000024.1||full_1","0.907","dsDNAphage","27183","13","rd1","phage_pass","trimmed_by_checkv","no","1","1"
"47","GiApicola_A712.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.58",3143865,"NARP01000006.1||0_partial_1","0.9","dsDNAphage","20307","2","rd1","phage_pass","trimmed_by_checkv","no","1","1"
"48","GiApicola_A712.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.58",3143865,"NARP01000033.1||full_1","1","dsDNAphage","28522","1","rd1","phage_pass","trimmed_by_checkv","no","1","1"
"49","GiApicola_A712.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.58",3143865,"NARP01000053.1||full","0.84","dsDNAphage","15443","2","rd2","phage_pass","same_as_vs2","no","1","1"
"50","GiApicola_A724.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","34.01",2943177,"NARQ01000057.1||full","0.807","dsDNAphage","7041","0","rd2","phage_pass","same_as_vs2","no","1","1"
"51","GiApicola_A724.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","34.01",2943177,"NARQ01000060.1||full","0.98","dsDNAphage","5752","6","rd1","phage_pass","same_as_vs2","no","1","1"
"52","GiApicola_A724.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","34.01",2943177,"NARQ01000028.1||full","0.987","dsDNAphage","43485","16","rd1","phage_pass","same_as_vs2","no","1","1"
"53","GiApicola_A724.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","34.01",2943177,"NARQ01000033.1||full","0.98","dsDNAphage","30221","13","rd1","phage_pass","same_as_vs2","no","1","1"
"54","GiApicola_A8.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.46",3046518,"MZNG01000103.1||full","0.933","dsDNAphage","7126","2","rd1","phage_pass","same_as_vs2","no","1","1"
"55","GiApicola_A812.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.95",2929550,"NARR01000021.1||full_1","0.933","dsDNAphage","27744","15","rd1","phage_pass","trimmed_by_checkv","no","1","1"
"56","GiApicola_A812.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.95",2929550,"NARR01000013.1||full_1","0.94","dsDNAphage","46517","16","rd1","phage_pass","trimmed_by_checkv","no","1","1"
"57","GiApicola_A812.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.95",2929550,"NARR01000049.1||full","0.98","dsDNAphage","17312","6","rd1","phage_pass","same_as_vs2","no","1","1"
"58","GiApicola_A9.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.53",3028920,"no_phage","NA","NA","NA","NA","NA","no_phage","NA","NA","NA","NA"
"59","GiApicola_A912.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.59",3145014,"NART01000009.1||full_1","0.873","dsDNAphage","20605","2","rd2","phage_pass","trimmed_by_checkv","no","1","1"
"60","GiApicola_A912.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.59",3145014,"NART01000089.1||full","0.993","dsDNAphage","9756","1","rd1","phage_pass","same_as_vs2","no","1","NA"
"61","GiApicola_A912.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.59",3145014,"NART01000016.1||full_1","0.907","dsDNAphage","27183","13","rd1","phage_pass","trimmed_by_checkv","no","1","1"
"62","GiApicola_A912.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.59",3145014,"NART01000042.1||full","0.887","dsDNAphage","18974","0","rd2","phage_pass","same_as_vs2","no","1","1"
"63","GiApicola_A912.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.59",3145014,"NART01000102.1||full","0.9","dsDNAphage","7793","2","rd1","phage_pass","same_as_vs2","no","1","1"
"64","GiApicola_A912.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.59",3145014,"NART01000007.1||full_1","0.813","dsDNAphage","21883","12","rd2","phage_pass","trimmed_by_checkv","no","1","1"
"65","GiApicola_AM4.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.94",3063854,"NARY01000126.1||full","0.953","dsDNAphage","23266","14","rd1","phage_pass","same_as_vs2","no","1","1"
"66","GiApicola_AM6.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","34.15",3003378,"MZNH01000138.1||full","0.627","dsDNAphage","5777","0","rd2","phage_pass","same_as_vs2","no","1","1"
"67","GiApicola_AM6.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","34.15",3003378,"MZNH01000124.1||full","0.98","dsDNAphage","7557","6","rd1","phage_pass","same_as_vs2","no","1","1"
"68","GiApicola_AM6.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","34.15",3003378,"MZNH01000051.1||full","0.987","dsDNAphage","13063","10","rd1","phage_pass","same_as_vs2","no","1","1"
"69","GiApicola_AW11.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","34.05",2942846,"NARX01000067.1||full","1","dsDNAphage","13651","7","rd1","phage_pass","same_as_vs2","no","1","1"
"70","GiApicola_AW11.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","34.05",2942846,"NARX01000099.1||full","0.96","dsDNAphage","8405","1","rd1","phage_pass","same_as_vs2","no","1","1"
"71","GiApicola_AW11.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","34.05",2942846,"NARX01000081.1||full","1","dsDNAphage","11372","11","rd1","phage_pass","same_as_vs2","no","1","1"
"72","GiApicola_AW11.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","34.05",2942846,"NARX01000016.1||full","0.987","dsDNAphage","33272","13","rd1","phage_pass","same_as_vs2","no","1","1"
"73","GiApicola_AW11.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","34.05",2942846,"NARX01000029.1||full","0.987","dsDNAphage","25722","8","rd1","phage_pass","same_as_vs2","no","1","1"
"74","GiApicola_AW13.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.63",3128857,"NARU01000131.1||full","0.8","dsDNAphage","8295","0","rd2","phage_pass","same_as_vs2","no","1","1"
"75","GiApicola_AW13.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.63",3128857,"NARU01000012.1||full","1","dsDNAphage","31774","13","rd1","phage_pass","same_as_vs2","no","1","1"
"76","GiApicola_AW13.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.63",3128857,"NARU01000096.1||full","0.927","dsDNAphage","11417","0","rd1","phage_pass","same_as_vs2","no","1","1"
"77","GiApicola_AW13.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.63",3128857,"NARU01000018.1||full_1","0.953","dsDNAphage","21700","12","rd1","phage_pass","trimmed_by_checkv","no","1","1"
"78","GiApicola_AW13.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.63",3128857,"NARU01000006.1||full_1","0.873","dsDNAphage","11814","2","rd2","phage_pass","trimmed_by_checkv","no","1","1"
"79","GiApicola_AW13.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.63",3128857,"NARU01000112.1||full","0.987","dsDNAphage","9933","1","rd1","phage_pass","same_as_vs2","no","1","NA"
"80","GiApicola_Aw17.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.96",2928228,"MZNI01000033.1||full_1","0.873","dsDNAphage","14208","10","rd2","phage_pass","trimmed_by_checkv","no","1","1"
"81","GiApicola_Aw17.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.96",2928228,"MZNI01000007.1||full_1","0.953","dsDNAphage","45802","16","rd1","phage_pass","trimmed_by_checkv","no","1","1"
"82","GiApicola_Aw17.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.96",2928228,"MZNI01000057.1||full","0.993","dsDNAphage","13482","6","rd1","phage_pass","same_as_vs2","no","1","1"
"83","GiApicola_Aw17.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.96",2928228,"MZNI01000010.1||0_partial_1","0.953","dsDNAphage","13247","6","rd1","phage_pass","trimmed_by_checkv","no","1","1"
"84","GiApicola_ESL0177.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","35.02",3086198,"QGLP01000005.1||1_partial_1","0.933","dsDNAphage","27809","17","rd1","phage_pass","trimmed_by_checkv","no","1","1"
"85","GiApicola_ESL0177.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","35.02",3086198,"QGLP01000005.1||0_partial_1","0.9","dsDNAphage","53165","13","rd1","phage_pass","trimmed_by_checkv","no","1","1"
"86","GiApicola_ESL0178.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.51",2885657,"QGLQ01000008.1||0_partial_1","0.847","dsDNAphage","11293","2","rd2","phage_pass","trimmed_by_checkv","no","1","1"
"87","GiApicola_ESL0182.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","34.99",3537173,"QGLR01000009.1||0_partial_1","0.887","dsDNAphage","28463","17","rd2","phage_pass","trimmed_by_checkv","no","1","1"
"88","GiApicola_ESL0182.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","34.99",3537173,"QGLR01000012.1||0_partial_1","0.887","dsDNAphage","43249","7","rd2","phage_pass","trimmed_by_checkv","no","1","1"
"89","GiApicola_M63G.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","34.33",2709165,"MCIU01000040.1||0_partial_1","0.913","dsDNAphage","21198","8","rd1","phage_pass","trimmed_by_checkv","no","1","1"
"90","GiApicola_N10.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.96",2898993,"NARV01000062.1||full","0.993","dsDNAphage","17190","9","rd1","phage_pass","same_as_vs2","no","1","1"
"91","GiApicola_N10.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.96",2898993,"NARV01000002.1||full_1","0.907","dsDNAphage","48687","11","rd1","phage_pass","trimmed_by_checkv","no","1","1"
"92","GiApicola_N10.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.96",2898993,"NARV01000043.1||full_1","0.94","dsDNAphage","10716","9","rd1","phage_pass","trimmed_by_checkv","no","1","1"
"93","GiApicola_N1212.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.63",3076431,"NAHT01000036.1||full_1","0.933","dsDNAphage","18519","4","rd1","phage_pass","trimmed_by_checkv","no","1","1"
"94","GiApicola_N1512.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.7",3049463,"NAHX01000216.1||full_1","0.8","dsDNAphage","7587","4","rd2","phage_pass","trimmed_by_checkv","no","1","1"
"95","GiApicola_N2.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.95",2908650,"NARW01000033.1||full_1","0.82","dsDNAphage","8623","6","rd2","phage_pass","trimmed_by_checkv","no","1","1"
"96","GiApicola_N2.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.95",2908650,"NARW01000044.1||full","0.98","dsDNAphage","18987","9","rd1","phage_pass","same_as_vs2","no","1","1"
"97","GiApicola_N2.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.95",2908650,"NARW01000003.1||full_1","0.893","dsDNAphage","48687","11","rd2","phage_pass","trimmed_by_checkv","no","1","1"
"98","GiApicola_N22.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.66",2974046,"NASB01000047.1||full","0.86","dsDNAphage","13379","1","rd2","phage_pass","same_as_vs2","no","1","1"
"99","GiApicola_N22.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.66",2974046,"NASB01000027.1||full","0.993","dsDNAphage","39155","11","rd1","phage_pass","same_as_vs2","no","1","1"
"100","GiApicola_N22.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.66",2974046,"NASB01000025.1||0_partial_1","0.913","dsDNAphage","8373","4","rd1","phage_pass","trimmed_by_checkv","no","1","1"
"101","GiApicola_N28.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.68",2979016,"NASC01000057.1||full","1","dsDNAphage","14616","9","rd1","phage_pass","same_as_vs2","no","1","1"
"102","GiApicola_N28.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.68",2979016,"NASC01000090.1||full_1","0.953","dsDNAphage","9023","4","rd1","phage_pass","trimmed_by_checkv","no","1","1"
"103","GiApicola_N28.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.68",2979016,"NASC01000102.1||full","1","dsDNAphage","9184","1","rd1","phage_pass","same_as_vs2","no","1","1"
"104","GiApicola_N4.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.94",2910729,"NARN01000002.1||0_partial_1","0.953","dsDNAphage","48276","11","rd1","phage_pass","trimmed_by_checkv","no","1","1"
"105","GiApicola_N4.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.94",2910729,"NARN01000040.1||full_1","0.813","dsDNAphage","8623","6","rd2","phage_pass","trimmed_by_checkv","no","1","1"
"106","GiApicola_N4.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.94",2910729,"NARN01000030.1||full_1","0.913","dsDNAphage","16545","9","rd1","phage_pass","trimmed_by_checkv","no","1","1"
"107","GiApicola_N6.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.94",2905171,"NARZ01000054.1||full_1","0.82","dsDNAphage","8623","6","rd2","phage_pass","trimmed_by_checkv","no","1","1"
"108","GiApicola_N6.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.94",2905171,"NARZ01000080.1||full_1","0.827","dsDNAphage","46943","11","rd2","phage_pass","trimmed_by_checkv","no","1","1"
"109","GiApicola_N6.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.94",2905171,"NARZ01000046.1||full","0.993","dsDNAphage","17190","9","rd1","phage_pass","same_as_vs2","no","1","1"
"110","GiApicola_N94.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.63",3069680,"NAHW01000044.1||full","0.9","dsDNAphage","18847","4","rd1","phage_pass","same_as_vs2","no","1","1"
"111","GiApicola_NG5.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.49",3063691,"NASA01000012.1||0_partial_1","0.913","dsDNAphage","12409","1","rd1","phage_pass","trimmed_by_checkv","no","1","1"
"112","GiApicola_NO10.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.67",3051496,"NAHU01000050.1||full","0.867","dsDNAphage","16311","4","rd2","phage_pass","same_as_vs2","no","1","1"
"113","GiApicola_NO10.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.67",3051496,"NAHU01000086.1||full","0.933","dsDNAphage","10773","2","rd1","phage_pass","same_as_vs2","no","1","1"
"114","GiApicola_NO5.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.64",3063250,"NAHV01000018.1||full_1","0.86","dsDNAphage","19905","4","rd2","phage_pass","trimmed_by_checkv","no","1","1"
"115","GiApicola_NO6.fna","Gilliamella apicola","Core","Gilliamella spp.","Gilliamella apicola","from_hb","33.63",3064360,"NAHR01000040.1||full_1","0.873","dsDNAphage","9317","4","rd2","phage_pass","trimmed_by_checkv","no","1","1"
