"","Bacterial Host","Phage_Sequence","Protein_ID","Classified_by_EggNOG_or_PHROGS","COGG_Number","EggNOG_Annotation","PHROGS_Number","PHROGS_Annotation","AMG_or_Moron"
"65","Paenibacillus larvae","AARF01000123.1||full","AARF01000123.1||full__00015","Ph","-","-","phrog_84","ribonucleoside-diphosphate reductase large subunit","-"
"66","Paenibacillus larvae","AARF01000123.1||full","AARF01000123.1||full__00008","0","","","-","-","-"
"67","Paenibacillus larvae","AARF01000123.1||full","AARF01000123.1||full__00016","0","","","-","-","-"
"68","Paenibacillus larvae","AARF01000123.1||full","AARF01000123.1||full__00019","Ph","-","-","phrog_192","DNA polymerase exonuclease subunit","-"
"69","Paenibacillus larvae","AARF01000247.1||full","AARF01000247.1||full__00006","0","","","-","-","-"
"70","Paenibacillus larvae","AARF01000247.1||full","AARF01000247.1||full__00004","K","334GS","Transcriptional regulator","-","-","-"
"71","Paenibacillus larvae","AARF01000247.1||full","AARF01000247.1||full__00005","0","","","-","-","-"
"72","Paenibacillus larvae","AARF01000247.1||full","AARF01000247.1||full__00010","Ph","-","-","phrog_12312","virion structural protein","-"
"73","Paenibacillus larvae","AARF01000247.1||full","AARF01000247.1||full__00002","0","","","-","-","-"
"74","Paenibacillus larvae","AARF01000247.1||full","AARF01000247.1||full__00009","S","32KD7","XkdW protein","-","-","-"
"75","Paenibacillus larvae","AARF01000247.1||full","AARF01000247.1||full__00011","Ph","-","-","phrog_202","distal tail protein Dit","-"
"76","Paenibacillus larvae","AARF01000247.1||full","AARF01000247.1||full__00001","S","30CG0","unknown","-","-","-"
"77","Paenibacillus larvae","AARF01000247.1||full","AARF01000247.1||full__00008","Ph","-","-","phrog_199","holin","-"
"78","Paenibacillus larvae","AARF01000247.1||full","AARF01000247.1||full__00007","Ph","-","-","phrog_2742","endolysin","-"
"79","Paenibacillus larvae","AARF01000247.1||full","AARF01000247.1||full__00003","S","33IDB","unknown","-","-","-"
"80","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00113","0","","","-","-","-"
"81","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00061","Ph","-","-","phrog_3088","amidase","-"
"82","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00046","Ph","-","-","phrog_23","tail sheath","-"
"83","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00183","Ph","-","-","phrog_157","transposase","-"
"84","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00235","Ph","-","-","phrog_353","toxin","Unspecified Moron"
"85","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00130","T","COG2206","PFAM metal-dependent phosphohydrolase, HD sub domain","-","-","-"
"86","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00282","S","arCOG14908","ribonuclease","-","-","-"
"87","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00222","0","","","-","-","-"
"88","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00284","S","2ZMSB","unknown","-","-","-"
"89","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00075","0","","","-","-","-"
"90","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00014","Ph","-","-","phrog_2780","RecT-like ssDNA annealing protein","-"
"91","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00253","Ph","-","-","phrog_538","minor tail protein","-"
"92","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00156","Ph","-","-","phrog_2780","RecT-like ssDNA annealing protein","-"
"93","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00256","S","4QEHA","","-","-","-"
"94","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00255","S","4QCNP","","-","-","-"
"95","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00152","0","","","-","-","-"
"96","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00112","0","","","-","-","-"
"97","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00050","Ph","-","-","phrog_46","baseplate hub","-"
"98","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00158","S","4QAII","","-","-","-"
"99","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00103","0","","","-","-","-"
"100","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00277","S","4QCKR","","-","-","-"
"101","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00178","Ph","-","-","phrog_1","integrase","-"
"102","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00115","0","","","-","-","-"
"103","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00218","Ph","-","-","phrog_112","Gp2.5-like ssDNA binding protein and ssDNA annealing protein","-"
"104","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00219","Ph","-","-","phrog_17","DNA polymerase","-"
"105","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00216","S","33P4N","unknown","-","-","-"
"106","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00062","Ph","-","-","phrog_1299","holin","-"
"107","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00011","S","4QE9S","","-","-","-"
"108","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00236","Ph","-","-","phrog_497","toxin-antitoxin system HicB-like","Unspecified Moron"
"109","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00259","Ph","-","-","phrog_1299","holin","-"
"110","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00179","S","343AG","Putative mucin or carbohydrate-binding module","-","-","-"
"111","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00285","Ph","-","-","phrog_17477","anti-repressor","-"
"112","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00154","S","4QG2D","","-","-","-"
"113","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00176","Ph","-","-","phrog_379","DNA binding protein","-"
"114","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00148","S","4QEAN","","-","-","-"
"115","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00155","S","4QD9Q","","-","-","-"
"116","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00101","0","","","-","-","-"
"117","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00163","S","4QAIJ","C-5 cytosine-specific DNA methylase","-","-","-"
"118","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00095","Ph","-","-","phrog_8429","NifU-like Fe-S cluster assembly protein","Unspecified Moron"
"119","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00010","S","306F8","unknown","-","-","-"
"120","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00226","0","","","-","-","-"
"121","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00271","0","","","-","-","-"
"122","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00274","Ph","-","-","phrog_7037","tail fiber protein","-"
"123","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00237","S","33G8I","unknown","-","-","-"
"124","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00043","Ph","-","-","phrog_27","tail completion or Neck1 protein","-"
"125","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00053","Ph","-","-","phrog_76","tail protein","-"
"126","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00215","0","","","-","-","-"
"127","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00167","S","4QDAG","","-","-","-"
"128","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00159","Ph","-","-","phrog_2514","DnaD-like helicase loader","-"
"129","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00056","Ph","-","-","phrog_14404","baseplate protein","-"
"130","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00258","Ph","-","-","phrog_3088","amidase","-"
"131","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00257","Ph","-","-","phrog_2429","involved in bacteriocin production or immunity","Unspecified Moron"
"132","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00072","0","","","-","-","-"
"133","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00210","S","4QAIJ","C-5 cytosine-specific DNA methylase","-","-","-"
"134","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00102","0","","","-","-","-"
"135","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00168","Ph","-","-","phrog_248","transcriptional activator","-"
"136","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00173","Ph","-","-","phrog_2331","transposase","-"
"137","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00051","Ph","-","-","phrog_52","tail protein","-"
"138","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00151","S","4QE9S","","-","-","-"
"139","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00153","S","4QG2D","","-","-","-"
"140","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00040","Ph","-","-","phrog_29","major head protein","-"
"141","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00096","O","2QRGW","iron-sulfur cluster assembly","-","-","-"
"142","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00160","Ph","-","-","phrog_2514","DnaD-like helicase loader","-"
"143","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00086","K","COG4977","sequence-specific DNA binding","-","-","-"
"144","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00205","0","","","-","-","-"
"145","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00170","Ph","-","-","phrog_95","integrase","-"
"146","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00111","E","2QVCA","glycine amidinotransferase activity","-","-","Potential AMG"
"147","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00088","J","COG0182","Catalyzes the interconversion of methylthioribose-1- phosphate (MTR-1-P) into methylthioribulose-1-phosphate (MTRu-1- P)","-","-","-"
"148","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00233","Ph","-","-","phrog_36","transcriptional regulator","-"
"149","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00089","S","COG4857","Catalyzes the phosphorylation of methylthioribose into methylthioribose-1-phosphate","-","-","-"
"150","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00005","Ph","-","-","phrog_4","transcriptional repressor","-"
"151","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00251","Ph","-","-","phrog_1272","tail length tape measure protein","-"
"152","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00224","0","","","-","-","-"
"153","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00048","Ph","-","-","phrog_3140","tail assembly chaperone","-"
"154","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00038","Ph","-","-","phrog_94","head maturation protease","-"
"155","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00057","Ph","-","-","phrog_7037","tail fiber protein","-"
"156","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00174","Ph","-","-","phrog_2331","transposase","-"
"157","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00161","Ph","-","-","phrog_19","DnaB-like replicative helicase","-"
"158","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00217","Ph","-","-","phrog_69","exonuclease","-"
"159","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00162","S","4QGFE","","-","-","-"
"160","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00228","S","32KGP","unknown","-","-","-"
"161","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00039","Ph","-","-","phrog_49","head decoration","-"
"162","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00100","S","33VJF","unknown","-","-","-"
"163","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00169","0","","","-","-","-"
"164","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00017","Ph","-","-","phrog_2514","DnaD-like helicase loader","-"
"165","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00093","O","COG0719","Fe-S assembly protein","-","-","-"
"166","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00280","Ph","-","-","phrog_10624",NA,"-"
"167","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00024","0","","","-","-","-"
"168","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00069","S","2ZQQ5","unknown","-","-","-"
"169","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00037","Ph","-","-","phrog_21","portal protein","-"
"170","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00045","S","33A8W","unknown","-","-","-"
"171","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00007","0","","","-","-","-"
"172","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00063","0","","","-","-","-"
"173","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00207","0","","","-","-","-"
"174","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00211","0","","","-","-","-"
"175","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00225","0","","","-","-","-"
"176","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00009","S","4QEAN","","-","-","-"
"177","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00049","Ph","-","-","phrog_991","tail length tape measure protein","-"
"178","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00042","Ph","-","-","phrog_2551","minor tail protein","-"
"179","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00248","Ph","-","-","phrog_78","tail terminator","-"
"180","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00275","S","2ZIVE","unknown","-","-","-"
"181","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00171","S","4QBIH","recombinase activity","-","-","-"
"182","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00055","Ph","-","-","phrog_6","baseplate wedge subunit","-"
"183","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00036","Ph","-","-","phrog_118","head-tail adaptor","-"
"184","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00013","S","4QD9Q","","-","-","-"
"185","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00029","Ph","-","-","phrog_248","transcriptional activator","-"
"186","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00081","S","COG2363","Small membrane protein","-","-","-"
"187","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00071","S","33BHJ","unknown","-","-","-"
"188","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00031","Ph","-","-","phrog_497","toxin-antitoxin system HicB-like","Unspecified Moron"
"189","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00204","0","","","-","-","-"
"190","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00097","Ph","-","-","",NA,"-"
"191","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00002","S","33GYU","unknown","-","-","-"
"192","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00184","Ph","-","-","phrog_2331","transposase","-"
"193","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00004","Ph","-","-","phrog_95","integrase","-"
"194","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00281","Q","arCOG03588","Methyltransferase","-","-","Potential AMG"
"195","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00232","S","33BW7","Protein of unknwon function (DUF3310)","-","-","-"
"196","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00054","Ph","-","-","phrog_43","baseplate wedge subunit","-"
"197","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00254","Ph","-","-","phrog_5339","virion structural protein","-"
"198","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00195","S","34AHR","Helix-turn-helix domain","-","-","-"
"199","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00223","S","4QAXV","YopX protein","-","-","-"
"200","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00272","Ph","-","-","phrog_14404","baseplate protein","-"
"201","Paenibacillus larvae","ADFW01000001.1||0_partial_1","ADFW01000001.1||0_partial_1__00260","0","","","-","-","-"
