FNA File,Organism_BS,Organism_AS,Filename_BS,Filename_AS,Assembly-name_AS,Strain_AS,Taxid_AS,BioSample_AS,BioProject_AS,Submitter_AS,Date_AS,Assembly-type_AS,Release-type_AS,Assembly-level_AS,Genome-representation_AS,Assembly-method_AS,Genome-coverage_AS,Sequencing-technology_AS,RefSeq-category_AS,GenBank-assembly-accession_AS,RefSeq-assembly-accession_AS,RefSeq-assembly-and-GenBank-assemblies-identical_AS,BioSample_BS,SampleName_BS,SRA_BS,/strain_BS,/collection-date_BS,/broad-scale-environmental-context_BS,/local-scale-environmental-context_BS,/environmental-medium_BS,/geographic-location_BS,/host_BS,/isolation-and-growth-condition_BS,/latitude-and-longitude_BS,/number-of-replicons_BS,/reference-for-biomaterial_BS,WGS-project_AS,Expected-final-version_AS,Relation-to-type-material_AS,/type-material_BS,/isolation-source_BS,/collected-by_BS,/sample-type_BS,/culture-collection_BS,/biomaterial-provider_BS,/Assembly-Method_BS,/Assembly-Name_BS,/Genome-Coverage_BS,/Sequencing-Technology_BS,/identified-by_BS,/host-disease_BS,Isolate_AS,Excluded-from-RefSeq_AS,/enviironmental-sample_BS,/metagenomic_BS,/isolate_BS,/note_BS,Single-cell-amplification_AS,/investigation-type_BS,/project-name_BS,/environmental-package_BS,/host-tissue-sampled_BS,/sample-name_BS,/estimated-size_BS,/locus_tag_prefix_BS,/altitude_BS,/temperature_BS,/Host-health_BS,/host-description_BS,/Alias_BS,/Broker-name_BS,/ENA-checklist_BS,/INSDC-center-alias_BS,/INSDC-center-name_BS,/INSDC-first-public_BS,/INSDC-last-update_BS,/INSDC-status_BS,/SRA-accession_BS,/Title_BS,/host-growth-conditions_BS,/host-life-stage_BS,/host-sex_BS,/genotype_BS,/Misc._BS,/sub-species_BS,/component-organism_BS,/substrain_BS,/subsource-note_BS,Reference-guided-assembly_AS,/finishing-strategy-(depth-of-coverage)_BS,/sop_BS,/project_type_BS,/source-material-identifiers_BS,/misc_param:-HMP-body-site_BS,/nucleic-acid-extraction_BS,/host-taxonomy-ID_BS,/assembly_BS,/misc_param:-HMP-supersite_BS,/sequencing-method_BS
GiApicola_App21.fna,Gilliamella apicola,Gilliamella apicola (g-proteobacteria),GiApicola_App21_BS.txt,GiApicola_App21_AS.txt,ASM169025v1,App2-1,1196095,SAMN05179596,PRJNA323464,University of Texas at Austin,7/21/16,na,major,Contig,full,MaSuRCA v. 3.1.0,12.0x,Illumina MiSeq,N/A,GCA_001690255.1,GCF_001690255.1,yes,SAMN05179596,Gilliamella apicola strain App2-1,"Neither pattern for SRA (""(SRS\d*)"" NOR ""SRA: .{20}"") found a match. Here is the whole line: Identifiers: BioSample: SAMN05179596; Sample name: Gilliamella apicola strain App2-1",App2-1,2012,N/A,N/A,N/A,USA: Austin,Bombus appositus,N/A,N/A,N/A,N/A,LZGR01,yes,N/A,N/A,N/A,N/A,cell culture,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GiApicola_App410.fna,Gilliamella apicola,Gilliamella apicola (g-proteobacteria),GiApicola_App410_BS.txt,GiApicola_App410_AS.txt,ASM169049v1,App4-10,1196095,SAMN05179597,PRJNA323464,University of Texas at Austin,7/21/16,na,major,Contig,full,MaSuRCA v. 3.1.0,12.0x,Illumina MiSeq,N/A,GCA_001690495.1,GCF_001690495.1,yes,SAMN05179597,Gilliamella apicola strain App4-10,"Neither pattern for SRA (""(SRS\d*)"" NOR ""SRA: .{20}"") found a match. Here is the whole line: Identifiers: BioSample: SAMN05179597; Sample name: Gilliamella apicola strain App4-10",App4-10,2012,N/A,N/A,N/A,USA: Austin,Bombus appositus,N/A,N/A,N/A,N/A,LZGS01,yes,N/A,N/A,N/A,N/A,cell culture,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GiApicola_App65.fna,Gilliamella apicola,Gilliamella apicola (g-proteobacteria),GiApicola_App65_BS.txt,GiApicola_App65_AS.txt,ASM169052v1,App6-5,1196095,SAMN05179598,PRJNA323464,University of Texas at Austin,7/21/16,na,major,Contig,full,MaSuRCA v. 3.1.0,12.0x,Illumina MiSeq,N/A,GCA_001690525.1,GCF_001690525.1,yes,SAMN05179598,Gilliamella apicola strain App6-5,"Neither pattern for SRA (""(SRS\d*)"" NOR ""SRA: .{20}"") found a match. Here is the whole line: Identifiers: BioSample: SAMN05179598; Sample name: Gilliamella apicola strain App6-5",App6-5,2012,N/A,N/A,N/A,USA: Austin,Bombus appositus,N/A,N/A,N/A,N/A,LZGT01,yes,N/A,N/A,N/A,N/A,cell culture,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GiApicola_Aw17.fna,Gilliamella apicola,Gilliamella apicola (g-proteobacteria),GiApicola_Aw17_BS.txt,GiApicola_Aw17_AS.txt,ASM214159v1,Aw-17,1196095,SAMN05603514,PRJNA339422,Norwegian University of Life Sciences (NMBU),5/16/17,na,major,Contig,full,SPAdes v. 3.0,23.0x,Illumina MiSeq,N/A,GCA_002141595.1,GCF_002141595.1,yes,SAMN05603514,Aw-17,"Neither pattern for SRA (""(SRS\d*)"" NOR ""SRA: .{20}"") found a match. Here is the whole line: Identifiers: BioSample: SAMN05603514; Sample name: Aw-17",Aw-17,2013-10,fields,Beehive,Gut,USA:Arizona,Apis mellifera,missing,Not collected,Not applicable,missing,MZNI01,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GiApicola_Bif14.fna,Gilliamella apicola,Gilliamella apicola (g-proteobacteria),GiApicola_Bif14_BS.txt,GiApicola_Bif14_AS.txt,ASM169053v1,Bif1-4,1196095,SAMN05179599,PRJNA323464,University of Texas at Austin,7/21/16,na,major,Contig,full,MaSuRCA v. 3.1.0,12.0x,Illumina MiSeq,N/A,GCA_001690535.1,GCF_001690535.1,yes,SAMN05179599,Gilliamella apicola strain Bif1-4,"Neither pattern for SRA (""(SRS\d*)"" NOR ""SRA: .{20}"") found a match. Here is the whole line: Identifiers: BioSample: SAMN05179599; Sample name: Gilliamella apicola strain Bif1-4",Bif1-4,2012,N/A,N/A,N/A,USA: Austin,Bombus bifarius,N/A,N/A,N/A,N/A,LZHC01,yes,N/A,N/A,N/A,N/A,cell culture,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GiApicola_Bim12.fna,Gilliamella apicola,Gilliamella apicola (g-proteobacteria),GiApicola_Bim12_BS.txt,GiApicola_Bim12_AS.txt,ASM169083v1,Bim1-2,1196095,SAMN05179600,PRJNA323464,University of Texas at Austin,7/21/16,na,major,Contig,full,MaSuRCA v. 3.1.0,12.0x,Illumina MiSeq,N/A,GCA_001690835.1,GCF_001690835.1,yes,SAMN05179600,Gilliamella apicola strain Bim1-2,"Neither pattern for SRA (""(SRS\d*)"" NOR ""SRA: .{20}"") found a match. Here is the whole line: Identifiers: BioSample: SAMN05179600; Sample name: Gilliamella apicola strain Bim1-2",Bim1-2,2012,N/A,N/A,N/A,USA: Austin,Bombus bimaculatus,N/A,N/A,N/A,N/A,LZHD01,yes,N/A,N/A,N/A,N/A,cell culture,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GiApicola_Bim32.fna,Gilliamella apicola,Gilliamella apicola (g-proteobacteria),GiApicola_Bim32_BS.txt,GiApicola_Bim32_AS.txt,ASM169057v1,Bim3-2,1196095,SAMN05179601,PRJNA323464,University of Texas at Austin,7/21/16,na,major,Contig,full,MaSuRCA v. 3.1.0,12.0x,Illumina MiSeq,N/A,GCA_001690575.1,GCF_001690575.1,yes,SAMN05179601,Gilliamella apicola strain Bim3-2,"Neither pattern for SRA (""(SRS\d*)"" NOR ""SRA: .{20}"") found a match. Here is the whole line: Identifiers: BioSample: SAMN05179601; Sample name: Gilliamella apicola strain Bim3-2",Bim3-2,2012,N/A,N/A,N/A,USA: Austin,Bombus bimaculatus,N/A,N/A,N/A,N/A,LZHE01,yes,N/A,N/A,N/A,N/A,cell culture,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GiApicola_Choc35.fna,Gilliamella apicola,Gilliamella apicola (g-proteobacteria),GiApicola_Choc35_BS.txt,GiApicola_Choc35_AS.txt,ASM169058v1,Choc3-5,1196095,SAMN05179607,PRJNA323464,University of Texas at Austin,7/21/16,na,major,Contig,full,MaSuRCA v. 3.1.0,12.0x,Illumina MiSeq,N/A,GCA_001690585.1,GCF_001690585.1,yes,SAMN05179607,Gilliamella apicola strain Choc3-5,"Neither pattern for SRA (""(SRS\d*)"" NOR ""SRA: .{20}"") found a match. Here is the whole line: Identifiers: BioSample: SAMN05179607; Sample name: Gilliamella apicola strain Choc3-5",Choc3-5,2012,N/A,N/A,N/A,USA: Austin,Bombus impatiens,N/A,N/A,N/A,N/A,LZHF01,yes,N/A,N/A,N/A,N/A,cell culture,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GiApicola_Choc42.fna,Gilliamella apicola,Gilliamella apicola (g-proteobacteria),GiApicola_Choc42_BS.txt,GiApicola_Choc42_AS.txt,ASM169035v1,Choc4-2,1196095,SAMN05179608,PRJNA323464,University of Texas at Austin,7/21/16,na,major,Contig,full,MaSuRCA v. 3.1.0,12.0x,Illumina MiSeq,N/A,GCA_001690355.1,GCF_001690355.1,yes,SAMN05179608,Gilliamella apicola strain Choc4-2,"Neither pattern for SRA (""(SRS\d*)"" NOR ""SRA: .{20}"") found a match. Here is the whole line: Identifiers: BioSample: SAMN05179608; Sample name: Gilliamella apicola strain Choc4-2",Choc4-2,2012,N/A,N/A,N/A,USA: Austin,Bombus impatiens,N/A,N/A,N/A,N/A,LZHG01,yes,N/A,N/A,N/A,N/A,cell culture,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GiApicola_Choc51.fna,Gilliamella apicola,Gilliamella apicola (g-proteobacteria),GiApicola_Choc51_BS.txt,GiApicola_Choc51_AS.txt,ASM169059v1,Choc5-1,1196095,SAMN05179609,PRJNA323464,University of Texas at Austin,7/21/16,na,major,Contig,full,MaSuRCA v. 3.1.0,12.0x,Illumina MiSeq,N/A,GCA_001690595.1,GCF_001690595.1,yes,SAMN05179609,Gilliamella apicola strain Choc5-1,"Neither pattern for SRA (""(SRS\d*)"" NOR ""SRA: .{20}"") found a match. Here is the whole line: Identifiers: BioSample: SAMN05179609; Sample name: Gilliamella apicola strain Choc5-1",Choc5-1,2012,N/A,N/A,N/A,USA: Austin,Bombus impatiens,N/A,N/A,N/A,N/A,LZHH01,yes,N/A,N/A,N/A,N/A,cell culture,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GiApicola_Choc61.fna,Gilliamella apicola,Gilliamella apicola (g-proteobacteria),GiApicola_Choc61_BS.txt,GiApicola_Choc61_AS.txt,ASM169038v1,Choc6-1,1196095,SAMN05179610,PRJNA323464,University of Texas at Austin,7/21/16,na,major,Contig,full,MaSuRCA v. 3.1.0,12.0x,Illumina MiSeq,N/A,GCA_001690385.1,GCF_001690385.1,yes,SAMN05179610,Gilliamella apicola strain Choc6-1,"Neither pattern for SRA (""(SRS\d*)"" NOR ""SRA: .{20}"") found a match. Here is the whole line: Identifiers: BioSample: SAMN05179610; Sample name: Gilliamella apicola strain Choc6-1",Choc6-1,2012,N/A,N/A,N/A,USA: Austin,Bombus impatiens,N/A,N/A,N/A,N/A,LZHI01,yes,N/A,N/A,N/A,N/A,cell culture,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GiApicola_DSM104097.fna,Gilliamella apicola,Gilliamella apicola (g-proteobacteria),GiApicola_DSM104097_BS.txt,GiApicola_DSM104097_AS.txt,ASM320145v1,DSM 104097,1196095,SAMN08769570,PRJNA439859,DOE Joint Genome Institute,6/7/18,na,major,Scaffold,full,SPAdes v. 3.10.1,217.0x,Illumina HiSeq,N/A,GCA_003201455.1,GCF_003201455.1,yes,SAMN08769570,"Neither pattern for SampleName (""Sample name: (.*?); "" NOR ""Sample name: (.*)"") found a match. Here is the whole line: Identifiers: BioSample: SAMN08769570; SRA: SRS3235921; DOE Joint Genome Institute: Gp0251967",SRS3235921,DSM 104097,missing,missing,missing,missing,missing,not applicable,missing,missing,missing,missing,QICT01,no,assembly from type material,type strain of Gilliamella apicola,missing,N/A,N/A,DSM:104097,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GiApicola_ESL0177.fna,Gilliamella apicola,Gilliamella apicola (g-proteobacteria),GiApicola_ESL0177_BS.txt,GiApicola_ESL0177_AS.txt,ASM320291v1,ESL0177,1196095,SAMN08297254,PRJNA471810,University of Lausanne,6/8/18,na,major,Contig,full,SPAdes v. 3.7.1,50.0x,Illumina MiSeq,N/A,GCA_003202915.1,GCF_003202915.1,yes,SAMN08297254,Gilliamella apicola ESL0177,"Neither pattern for SRA (""(SRS\d*)"" NOR ""SRA: .{20}"") found a match. Here is the whole line: Identifiers: BioSample: SAMN08297254; Sample name: Gilliamella apicola ESL0177",ESL0177,1-Jan-15,gut microbiome,gut of honey bee,gut,Switzerland: Lausanne,Apis mellifera,"BHIA, 34¡C, microaerophilic",46.52 N 6.58 E,1,Reference database genomes of bee gut bacteria,QGLP01,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GiApicola_ESL0178.fna,Gilliamella apicola,Gilliamella apicola (g-proteobacteria),GiApicola_ESL0178_BS.txt,GiApicola_ESL0178_AS.txt,ASM320281v1,ESL0178,1196095,SAMN08297255,PRJNA471810,University of Lausanne,6/8/18,na,major,Contig,full,SPAdes v. 3.7.1,200.0x,Illumina MiSeq,N/A,GCA_003202815.1,GCF_003202815.1,yes,SAMN08297255,Gilliamella apicola ESL0178,"Neither pattern for SRA (""(SRS\d*)"" NOR ""SRA: .{20}"") found a match. Here is the whole line: Identifiers: BioSample: SAMN08297255; Sample name: Gilliamella apicola ESL0178",ESL0178,1-Jan-15,gut microbiome,gut of honey bee,gut,Switzerland: Lausanne,Apis mellifera,"BHIA, 34¡C, microaerophilic",46.52 N 6.58 E,1,Reference database genomes of bee gut bacteria,QGLQ01,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GiApicola_ESL0182.fna,Gilliamella apicola,Gilliamella apicola (g-proteobacteria),GiApicola_ESL0182_BS.txt,GiApicola_ESL0182_AS.txt,ASM320265v1,ESL0182,1196095,SAMN08297256,PRJNA471810,University of Lausanne,6/8/18,na,major,Contig,full,SPAdes v. 3.7.1,160.0x,Illumina MiSeq,N/A,GCA_003202655.1,GCF_003202655.1,yes,SAMN08297256,Gilliamella apicola ESL0182,"Neither pattern for SRA (""(SRS\d*)"" NOR ""SRA: .{20}"") found a match. Here is the whole line: Identifiers: BioSample: SAMN08297256; Sample name: Gilliamella apicola ESL0182",ESL0182,1-Jan-15,gut microbiome,gut of honey bee,gut,Switzerland: Lausanne,Apis mellifera,"BHIA, 34¡C, microaerophilic",46.52 N 6.58 E,1,Reference database genomes of bee gut bacteria,QGLR01,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GiApicola_Fer11.fna,Gilliamella apicola,Gilliamella apicola (g-proteobacteria),GiApicola_Fer11_BS.txt,GiApicola_Fer11_AS.txt,ASM169082v1,Fer1-1,1196095,SAMN05179602,PRJNA323464,University of Texas at Austin,7/21/16,na,major,Contig,full,MaSuRCA v. 3.1.0,12.0x,Illumina MiSeq,N/A,GCA_001690825.1,GCF_001690825.1,yes,SAMN05179602,Gilliamella apicola strain Fer1-1,"Neither pattern for SRA (""(SRS\d*)"" NOR ""SRA: .{20}"") found a match. Here is the whole line: Identifiers: BioSample: SAMN05179602; Sample name: Gilliamella apicola strain Fer1-1",Fer1-1,2012,N/A,N/A,N/A,USA: Austin,Bombus fervidus,N/A,N/A,N/A,N/A,LZGX01,yes,N/A,N/A,N/A,N/A,cell culture,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GiApicola_Fer21.fna,Gilliamella apicola,Gilliamella apicola (g-proteobacteria),GiApicola_Fer21_BS.txt,GiApicola_Fer21_AS.txt,ASM169030v1,Fer2-1,1196095,SAMN05179603,PRJNA323464,University of Texas at Austin,7/21/16,n/a,major,Contig,full,MaSuRCA v. 3.1.0,12.0x,Illumina MiSeq,N/A,GCA_001690305.1,GCF_001690305.1,yes,SAMN05179603,Gilliamella apicola strain Fer2-1,"Neither pattern for SRA (""(SRS\d*)"" NOR ""SRA: .{20}"") found a match. Here is the whole line: Identifiers: BioSample: SAMN05179603; Sample name: Gilliamella apicola strain Fer2-1",Fer2-1,2012,N/A,N/A,N/A,USA: Austin,Bombus fervidus,N/A,N/A,N/A,N/A,LZGY01,Yes,N/A,N/A,N/A,N/A,cell culture,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GiApicola_Fer41.fna,Gilliamella apicola,Gilliamella apicola (g-proteobacteria),GiApicola_Fer41_BS.txt,GiApicola_Fer41_AS.txt,ASM169051v1,Fer4-1,1196095,SAMN05179604,PRJNA323464,University of Texas at Austin,7/21/16,na,major,Contig,full,MaSuRCA v. 3.1.0,12.0x,Illumina MiSeq,N/A,GCA_001690515.1,GCF_001690515.1,yes,SAMN05179604,Gilliamella apicola strain Fer4-1,"Neither pattern for SRA (""(SRS\d*)"" NOR ""SRA: .{20}"") found a match. Here is the whole line: Identifiers: BioSample: SAMN05179604; Sample name: Gilliamella apicola strain Fer4-1",Fer4-1,2012,N/A,N/A,N/A,USA: Austin,Bombus fervidus,N/A,N/A,N/A,N/A,LZGZ01,yes,N/A,N/A,N/A,N/A,cell culture,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GiApicola_GillExp13.fna,Gilliamella apicola,Gilliamella apicola (g-proteobacteria),GiApicola_GillExp13_BS.txt,GiApicola_GillExp13_AS.txt,ASM169081v1,GillExp13,1196095,SAMN05179611,PRJNA323464,University of Texas at Austin,7/21/16,na,major,Contig,full,MaSuRCA v. 3.1.0,12.0x,Illumina MiSeq,N/A,GCA_001690815.1,GCF_001690815.1,yes,SAMN05179611,Gilliamella apicola strain GillExp13,"Neither pattern for SRA (""(SRS\d*)"" NOR ""SRA: .{20}"") found a match. Here is the whole line: Identifiers: BioSample: SAMN05179611; Sample name: Gilliamella apicola strain GillExp13",GillExp13,2012,N/A,N/A,N/A,USA: Austin,Bombus impatiens,N/A,N/A,N/A,N/A,LZHJ01,yes,N/A,N/A,N/A,N/A,cell culture,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GiApicola_Gris14.fna,Gilliamella apicola,Gilliamella apicola (g-proteobacteria),GiApicola_Gris14_BS.txt,GiApicola_Gris14_AS.txt,ASM169033v1,Gris1-4,1196095,SAMN05179605,PRJNA323464,University of Texas at Austin,7/21/16,na,major,Contig,full,MaSuRCA v. 3.1.0,12.0x,Illumina MiSeq,N/A,GCA_001690335.1,GCF_001690335.1,yes,SAMN05179605,Gilliamella apicola strain Gris1-4,"Neither pattern for SRA (""(SRS\d*)"" NOR ""SRA: .{20}"") found a match. Here is the whole line: Identifiers: BioSample: SAMN05179605; Sample name: Gilliamella apicola strain Gris1-4",Gris1-4,2012,N/A,N/A,N/A,USA: Austin,Bombus griseocollis,N/A,N/A,N/A,N/A,LZHA01,yes,N/A,N/A,N/A,N/A,cell culture,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
