input_vs2	checkv_name	length.checkv
NARU01000006.1||full	NARU01000006.1||full_1	11814
NARU01000069.1||full	NARU01000069.1||full_1	3874
LZGT01000079.1||full	LZGT01000079.1||full_1	27124
MZNI01000033.1||full	MZNI01000033.1||full_1	14208
MZNI01000007.1||full	MZNI01000007.1||full_1	45802
LZHD01000047.1||full	LZHD01000047.1||full_1	46895
LZHD01000082.1||full	LZHD01000082.1||full_1	35602
LZHD01000086.1||full	LZHD01000086.1||full_1	989
LZHD01000103.1||full	LZHD01000103.1||full_1	27120
LZHE01000091.1||full	LZHE01000091.1||full_1	34169
LZHF01000045.1||full	LZHF01000045.1||full_1	36998
LZHG01000033.1||full	LZHG01000033.1||full_1	40306
LZHG01000033.1||full	LZHG01000033.1||full_2	44823
LZHG01000058.1||full	LZHG01000058.1||full_1	7513
LZHH01000054.1||full	LZHH01000054.1||full_1	40263
LZGX01000084.1||full	LZGX01000084.1||full_1	7077
LZGX01000107.1||full	LZGX01000107.1||full_1	21710
LZGY01000061.1||full	LZGY01000061.1||full_1	38399
LZGY01000118.1||full	LZGY01000118.1||full_1	2649
LZGZ01000081.1||full	LZGZ01000081.1||full_1	25034
LZGZ01000314.1||full	LZGZ01000314.1||full_1	2652
LZHJ01000108.1||full	LZHJ01000108.1||full_1	22296
LZHA01000009.1||full	LZHA01000009.1||full_1	19390
LZHA01000058.1||full	LZHA01000058.1||full_1	29973
LZHB01000040.1||full	LZHB01000040.1||full_1	53867
LZHB01000041.1||full	LZHB01000041.1||full_1	42042
LZHB01000061.1||full	LZHB01000061.1||full_1	28302
LZHB01000075.1||full	LZHB01000075.1||full_1	35090
LZGV01000021.1||full	LZGV01000021.1||full_1	35801
LZGV01000045.1||full	LZGV01000045.1||full_1	29194
LZGV01000097.1||full	LZGV01000097.1||full_1	27905
LZGU01000046.1||full	LZGU01000046.1||full_1	27913
LZGU01000065.1||full	LZGU01000065.1||full_1	35990
LZGU01000120.1||full	LZGU01000120.1||full_1	34251
LZHK01000110.1||full	LZHK01000110.1||full_1	779
NARV01000002.1||full	NARV01000002.1||full_1	48687
NARV01000043.1||full	NARV01000043.1||full_1	10716
NAHT01000036.1||full	NAHT01000036.1||full_1	18519
NAHX01000216.1||full	NAHX01000216.1||full_1	7587
NARW01000003.1||full	NARW01000003.1||full_1	48687
NARW01000033.1||full	NARW01000033.1||full_1	8623
NASB01000046.1||full	NASB01000046.1||full_1	3487
NASC01000111.1||full	NASC01000111.1||full_1	5133
NASC01000089.1||full	NASC01000089.1||full_1	3487
NASC01000090.1||full	NASC01000090.1||full_1	9023
NARN01000030.1||full	NARN01000030.1||full_1	16545
NARN01000040.1||full	NARN01000040.1||full_1	8623
NARZ01000054.1||full	NARZ01000054.1||full_1	8623
NARZ01000080.1||full	NARZ01000080.1||full_1	46943
NAHW01000085.1||full	NAHW01000085.1||full_1	372
NASA01000040.1||full	NASA01000040.1||full_1	3792
NAHV01000018.1||full	NAHV01000018.1||full_1	19905
NAHR01000040.1||full	NAHR01000040.1||full_1	9317
NAHS01000194.1||full	NAHS01000194.1||full_1	2646
NAHS01000359.1||full	NAHS01000359.1||full_1	423
LZHN01000020.1||full	LZHN01000020.1||full_1	33799
LZHO01000083.1||full	LZHO01000083.1||full_1	31503
LZHP01000013.1||full	LZHP01000013.1||full_1	30279
LZHP01000045.1||full	LZHP01000045.1||full_1	51663
LZHQ01000008.1||full	LZHQ01000008.1||full_1	49919
LZHR01000012.1||full	LZHR01000012.1||full_1	24170
LZHR01000021.1||full	LZHR01000021.1||full_1	31675
LZHR01000118.1||full	LZHR01000118.1||full_1	50193
LZGJ01000021.1||full	LZGJ01000021.1||full_1	57980
JAIM01000015.1||full	JAIM01000015.1||full_1	7744
JAIM01000024.1||full	JAIM01000024.1||full_1	11692
JAIN01000037.1||full	JAIN01000037.1||full_1	5487
VMHM01000015.1||full	VMHM01000015.1||full_1	38707
VMHM01000017.1||full	VMHM01000017.1||full_1	22771
LZGM01000070.1||full	LZGM01000070.1||full_1	27633
LZGM01000070.1||full	LZGM01000070.1||full_2	43723
LZHM01000027.1||full	LZHM01000027.1||full_1	24624
LZHM01000040.1||full	LZHM01000040.1||full_1	33967
LZHM01000053.1||full	LZHM01000053.1||full_1	28438
LZHM01000086.1||full	LZHM01000086.1||full_1	3111
LZGP01000026.1||full	LZGP01000026.1||full_1	40805
LZGP01000031.1||full	LZGP01000031.1||full_1	22924
LZGP01000031.1||full	LZGP01000031.1||full_2	27799
LZGP01000032.1||full	LZGP01000032.1||full_1	9500
LZGO01000012.1||full	LZGO01000012.1||full_1	948
LZGO01000083.1||full	LZGO01000083.1||full_1	43731
JFZX01000004.1||full	JFZX01000004.1||full_1	51354
LZGN01000022.1||full	LZGN01000022.1||full_1	38340
NASK01000078.1||full	NASK01000078.1||full_1	14516
NASK01000096.1||full	NASK01000096.1||full_1	33600
NASU01000020.1||full	NASU01000020.1||full_1	28791
NASV01000031.1||full	NASV01000031.1||full_1	8500
NASV01000083.1||full	NASV01000083.1||full_1	2017
NASG01000031.1||full	NASG01000031.1||full_1	21203
NASF01000035.1||full	NASF01000035.1||full_1	21628
NASE01000025.1||full	NASE01000025.1||full_1	21193
NASM01000083.1||full	NASM01000083.1||full_1	9160
JAIO01000048.1||full	JAIO01000048.1||full_1	2867
JXCX01000009.1||full	JXCX01000009.1||full_1	39696
JAAEEA010000007.1||full	JAAEEA010000007.1||full_1	9673
AZDD01000070.1||full	AZDD01000070.1||full_1	609
JSBB01000007.1||full	JSBB01000007.1||full_1	31444
ADZY03000319.1||full	ADZY03000319.1||full_1	19116
ADZY03000211.1||full	ADZY03000211.1||full_1	6463
ADZY03000165.1||full	ADZY03000165.1||full_1	4231
CH981488.1||full	CH981488.1||full_1	2242
CH981474.1||full	CH981474.1||full_1	16326
CH981435.1||full	CH981435.1||full_1	27490
CH981423.1||full	CH981423.1||full_1	6479
CH981405.1||full	CH981405.1||full_1	7735
CH981386.1||full	CH981386.1||full_1	20344
CH981374.1||full	CH981374.1||full_1	17574
CH981373.1||full	CH981373.1||full_1	64890
ADFW01000003.1||full	ADFW01000003.1||full_1	13475
ADFW01000003.1||full	ADFW01000003.1||full_2	4383
CP019719.1||full	CP019719.1||full_1	38165
LAWY01000007.1||full	LAWY01000007.1||full_1	42960
LAWY01000015.1||full	LAWY01000015.1||full_1	22981
LAWY01000021.1||full	LAWY01000021.1||full_1	16326
LAWY01000036.1||full	LAWY01000036.1||full_1	37726
LAWY01000041.1||full	LAWY01000041.1||full_1	20207
LAWY01000049.1||full	LAWY01000049.1||full_1	25515
LAWY01000074.1||full	LAWY01000074.1||full_1	5093
NAGY01000056.1||full	NAGY01000056.1||full_1	34527
NAGZ01000101.1||full	NAGZ01000101.1||full_1	15457
NAGZ01000117.1||full	NAGZ01000117.1||full_1	48675
NAHA01000069.1||full	NAHA01000069.1||full_1	17607
NAHB01000047.1||full	NAHB01000047.1||full_1	37989
NAHC01000079.1||full	NAHC01000079.1||full_1	48675
NAHD01000067.1||full	NAHD01000067.1||full_1	35583
NAHE01000089.1||full	NAHE01000089.1||full_1	15457
NAHE01000106.1||full	NAHE01000106.1||full_1	42939
NAHF01000097.1||full	NAHF01000097.1||full_1	15457
NAHF01000117.1||full	NAHF01000117.1||full_1	32768
NAHG01000113.1||full	NAHG01000113.1||full_1	2993
NAHH01000052.1||full	NAHH01000052.1||full_1	35583
MDVB01000053.1||full	MDVB01000053.1||full_1	32401
MDVC01000003.1||full	MDVC01000003.1||full_1	25333
MDVC01000006.1||full	MDVC01000006.1||full_1	23311
MDVC01000012.1||full	MDVC01000012.1||full_1	3766
MDVC01000057.1||full	MDVC01000057.1||full_1	26049
MDVC01000074.1||full	MDVC01000074.1||full_1	1909
MDVD01000002.1||full	MDVD01000002.1||full_1	31890
MDVD01000003.1||full	MDVD01000003.1||full_1	45072
MDVD01000057.1||full	MDVD01000057.1||full_1	33947
NAGW01000079.1||full	NAGW01000079.1||full_1	39202
NAGW01000077.1||full	NAGW01000077.1||full_1	51014
NAGW01000084.1||full	NAGW01000084.1||full_1	17954
MVDP01000053.1||full	MVDP01000053.1||full_1	39202
MVDP01000049.1||full	MVDP01000049.1||full_1	47879
QGLS01000008.1||full	QGLS01000008.1||full_1	46546
MDVE01000058.1||full	MDVE01000058.1||full_1	33589
MDVF01000003.1||full	MDVF01000003.1||full_1	32624
MDVF01000023.1||full	MDVF01000023.1||full_1	18653
MDVH01000038.1||full	MDVH01000038.1||full_1	15803
MDVH01000045.1||full	MDVH01000045.1||full_1	8831
MDVH01000051.1||full	MDVH01000051.1||full_1	32336
MDVI01000017.1||full	MDVI01000017.1||full_1	15788
MDVI01000035.1||full	MDVI01000035.1||full_1	32336
MEIU01000005.1||full	MEIU01000005.1||full_1	16801
MEIT01000100.1||full	MEIT01000100.1||full_1	22504
MEIX01000091.1||full	MEIX01000091.1||full_1	29613
NAHQ01000094.1||full	NAHQ01000094.1||full_1	9469
NAHK01000128.1||full	NAHK01000128.1||full_1	18314
NAHL01000098.1||full	NAHL01000098.1||full_1	34838
NAHL01000022.1||full	NAHL01000022.1||full_1	2528
NAHM01000052.1||full	NAHM01000052.1||full_1	9499
NAHN01000070.1||full	NAHN01000070.1||full_1	36851
NAHO01000019.1||full	NAHO01000019.1||full_1	9469
NAHP01000076.1||full	NAHP01000076.1||full_1	36995
MEIS01000054.1||full	MEIS01000054.1||full_1	30193
MEIS01000055.1||full	MEIS01000055.1||full_1	33196
MEIS01000110.1||full	MEIS01000110.1||full_1	9222
MEIS01000110.1||full	MEIS01000110.1||full_2	10938
MEIS01000117.1||full	MEIS01000117.1||full_1	23502
MEIS01000118.1||full	MEIS01000118.1||full_1	21801
MEIR01000077.1||full	MEIR01000077.1||full_1	30669
MEIR01000081.1||full	MEIR01000081.1||full_1	38313
MEIV01000053.1||full	MEIV01000053.1||full_1	44093
MEIW01000094.1||full	MEIW01000094.1||full_1	2873
MEIW01000122.1||full	MEIW01000122.1||full_1	42668
MDUZ01000118.1||full	MDUZ01000118.1||full_1	34253
MEIP01000011.1||full	MEIP01000011.1||full_1	34353
MEIP01000027.1||full	MEIP01000027.1||full_1	12336
AVQL01000428.1||full	AVQL01000428.1||full_1	5011
AVQL01000451.1||full	AVQL01000451.1||full_1	35740
JAIL01000254.1||full	JAIL01000254.1||full_1	12958
JACG01000005.1||full	JACG01000005.1||full_1	7003
MDVA01000039.1||full	MDVA01000039.1||full_1	41840
MEIO01000028.1||full	MEIO01000028.1||full_1	36849
JFZW01000013.1||full	JFZW01000013.1||full_1	8226
JFZV01000010.1||full	JFZV01000010.1||full_1	19483
JFZV01000012.1||full	JFZV01000012.1||full_1	38154
JFZV01000019.1||full	JFZV01000019.1||full_1	15410
MEII01000011.1||full	MEII01000011.1||full_1	38606
WNIJ01000001.1||0_partial	WNIJ01000001.1||0_partial_1	38712
WNIJ01000001.1||1_partial	WNIJ01000001.1||1_partial_1	28651
CP015625.1||0_partial	CP015625.1||0_partial_1	41474
CP015820.1||0_partial	CP015820.1||0_partial_1	25200
CP015821.1||0_partial	CP015821.1||0_partial_1	36450
LXYU01000003.1||0_partial	LXYU01000003.1||0_partial_1	30957
LXYT01000001.1||0_partial	LXYT01000001.1||0_partial_1	29444
LXYS01000002.1||0_partial	LXYS01000002.1||0_partial_1	31993
LXYS01000004.1||0_partial	LXYS01000004.1||0_partial_1	41673
QGLH01000003.1||0_partial	QGLH01000003.1||0_partial_1	46614
QGLJ01000007.1||0_partial	QGLJ01000007.1||0_partial_1	34318
WKKW01000001.1||0_partial	WKKW01000001.1||0_partial_1	36917
VMHJ01000002.1||0_partial	VMHJ01000002.1||0_partial_1	37691
JDUF01000005.1||0_partial	JDUF01000005.1||0_partial_1	17695
CP007287.1||0_partial	CP007287.1||0_partial_1	23954
WHNS01000003.1||0_partial	WHNS01000003.1||0_partial_1	27634
WHNS01000006.1||0_partial	WHNS01000006.1||0_partial_1	36754
WHNS01000010.1||0_partial	WHNS01000010.1||0_partial_1	33641
JATM01000001.1||0_partial	JATM01000001.1||0_partial_1	34800
JATM01000003.1||0_partial	JATM01000003.1||0_partial_1	25779
WNIF01000004.1||0_partial	WNIF01000004.1||0_partial_1	17933
CP047652.1||0_partial	CP047652.1||0_partial_1	37067
AGFR01000007.1||0_partial	AGFR01000007.1||0_partial_1	44967
CP033087.1||0_partial	CP033087.1||0_partial_1	37614
CP033087.1||1_partial	CP033087.1||1_partial_1	31126
CP033087.1||2_partial	CP033087.1||2_partial_1	11024
CP046393.1||0_partial	CP046393.1||0_partial_1	30726
QGLT01000004.1||0_partial	QGLT01000004.1||0_partial_1	21824
WNID01000008.1||0_partial	WNID01000008.1||0_partial_1	18557
WNID01000012.1||0_partial	WNID01000012.1||0_partial_1	44137
WNIE01000006.1||0_partial	WNIE01000006.1||0_partial_1	25348
WNII01000007.1||0_partial	WNII01000007.1||0_partial_1	20671
WNIL01000012.1||0_partial	WNIL01000012.1||0_partial_1	41296
ATSX01000001.1||0_partial	ATSX01000001.1||0_partial_1	40828
ATSX01000001.1||1_partial	ATSX01000001.1||1_partial_1	16017
U00096.3||0_partial	U00096.3||0_partial_1	13382
U00096.3||1_partial	U00096.3||1_partial_1	16737
U00096.3||2_partial	U00096.3||2_partial_1	12707
U00096.3||3_partial	U00096.3||3_partial_1	17700
U00096.3||4_partial	U00096.3||4_partial_1	14873
CP014225.1||0_partial	CP014225.1||0_partial_1	13382
CP014225.1||1_partial	CP014225.1||1_partial_1	16737
CP014225.1||2_partial	CP014225.1||2_partial_1	11705
CP014225.1||3_partial	CP014225.1||3_partial_1	17700
CP014225.1||4_partial	CP014225.1||4_partial_1	14873
CP014348.1||0_partial	CP014348.1||0_partial_1	22276
CP014348.1||1_partial	CP014348.1||1_partial_1	23185
CP014348.1||2_partial	CP014348.1||2_partial_1	8848
CP014348.1||3_partial	CP014348.1||3_partial_1	15970
CP014348.1||4_partial	CP014348.1||4_partial_1	13682
CP025268.1||0_partial	CP025268.1||0_partial_1	13381
CP025268.1||1_partial	CP025268.1||1_partial_1	16737
CP025268.1||2_partial	CP025268.1||2_partial_1	13373
CP025268.1||3_partial	CP025268.1||3_partial_1	17700
CP025268.1||4_partial	CP025268.1||4_partial_1	17019
CP025268.1||5_partial	CP025268.1||5_partial_1	10263
CP012868.1||0_partial	CP012868.1||0_partial_1	18866
CP012868.1||1_partial	CP012868.1||1_partial_1	23185
CP012868.1||2_partial	CP012868.1||2_partial_1	8849
CP012868.1||3_partial	CP012868.1||3_partial_1	15970
CP012868.1||4_partial	CP012868.1||4_partial_1	13682
QGTI01000009.1||0_partial	QGTI01000009.1||0_partial_1	14373
QGTI01000017.1||0_partial	QGTI01000017.1||0_partial_1	13167
QGLM01000014.1||0_partial	QGLM01000014.1||0_partial_1	8209
QGLM01000017.1||0_partial	QGLM01000017.1||0_partial_1	16530
CP009056.1||0_partial	CP009056.1||0_partial_1	25573
CP009056.1||1_partial	CP009056.1||1_partial_1	14373
NARP01000001.1||0_partial	NARP01000001.1||0_partial_1	21700
NARP01000006.1||0_partial	NARP01000006.1||0_partial_1	20307
LZGR01000073.1||0_partial	LZGR01000073.1||0_partial_1	33695
LZGS01000035.1||0_partial	LZGS01000035.1||0_partial_1	10448
LZGT01000041.1||0_partial	LZGT01000041.1||0_partial_1	17657
LZGT01000094.1||0_partial	LZGT01000094.1||0_partial_1	15048
MZNI01000010.1||0_partial	MZNI01000010.1||0_partial_1	13247
LZHC01000062.1||0_partial	LZHC01000062.1||0_partial_1	50524
LZHF01000068.1||0_partial	LZHF01000068.1||0_partial_1	31644
LZHG01000046.1||0_partial	LZHG01000046.1||0_partial_1	6132
LZHI01000013.1||0_partial	LZHI01000013.1||0_partial_1	31284
QICT01000010.1||0_partial	QICT01000010.1||0_partial_1	16248
QICT01000012.1||0_partial	QICT01000012.1||0_partial_1	18965
QGLP01000005.1||0_partial	QGLP01000005.1||0_partial_1	53165
QGLP01000005.1||1_partial	QGLP01000005.1||1_partial_1	27809
QGLQ01000008.1||0_partial	QGLQ01000008.1||0_partial_1	11293
QGLR01000009.1||0_partial	QGLR01000009.1||0_partial_1	28463
QGLR01000012.1||0_partial	QGLR01000012.1||0_partial_1	43249
LZGY01000206.1||0_partial	LZGY01000206.1||0_partial_1	29495
LZGV01000095.1||0_partial	LZGV01000095.1||0_partial_1	33958
LZHL01000024.1||0_partial	LZHL01000024.1||0_partial_1	11797
MCIU01000040.1||0_partial	MCIU01000040.1||0_partial_1	21198
NASB01000025.1||0_partial	NASB01000025.1||0_partial_1	8373
NARN01000002.1||0_partial	NARN01000002.1||0_partial_1	48276
NASA01000012.1||0_partial	NASA01000012.1||0_partial_1	12409
LZHP01000053.1||0_partial	LZHP01000053.1||0_partial_1	12268
LZHR01000050.1||0_partial	LZHR01000050.1||0_partial_1	7044
LZGJ01000030.1||0_partial	LZGJ01000030.1||0_partial_1	20752
VMHM01000011.1||0_partial	VMHM01000011.1||0_partial_1	31530
VMHM01000003.1||0_partial	VMHM01000003.1||0_partial_1	14339
VMHM01000008.1||0_partial	VMHM01000008.1||0_partial_1	15505
VMHL01000001.1||0_partial	VMHL01000001.1||0_partial_1	119426
VMHL01000001.1||1_partial	VMHL01000001.1||1_partial_1	25713
VMHL01000006.1||0_partial	VMHL01000006.1||0_partial_1	38335
LZGW01000001.1||0_partial	LZGW01000001.1||0_partial_1	30241
LZGW01000032.1||0_partial	LZGW01000032.1||0_partial_1	28909
LZGW01000052.1||0_partial	LZGW01000052.1||0_partial_1	28748
CP007445.1||0_partial	CP007445.1||0_partial_1	19986
CP007445.1||1_partial	CP007445.1||1_partial_1	20762
CP007445.1||2_partial	CP007445.1||2_partial_1	17892
LZGM01000117.1||0_partial	LZGM01000117.1||0_partial_1	13280
JFON01000002.1||0_partial	JFON01000002.1||0_partial_1	49390
JFON01000002.1||0_partial	JFON01000002.1||0_partial_2	38842
LZGL01000009.1||0_partial	LZGL01000009.1||0_partial_1	35813
LZGL01000013.1||0_partial	LZGL01000013.1||0_partial_1	18091
LYST01000021.1||0_partial	LYST01000021.1||0_partial_1	16579
LZGK01000011.1||0_partial	LZGK01000011.1||0_partial_1	54923
LZGK01000013.1||0_partial	LZGK01000013.1||0_partial_1	14271
LZGO01000072.1||0_partial	LZGO01000072.1||0_partial_1	11424
LZGN01000003.1||0_partial	LZGN01000003.1||0_partial_1	14442
LZGN01000037.1||0_partial	LZGN01000037.1||0_partial_1	15026
CM004509.1||0_partial	CM004509.1||0_partial_1	42837
LZEI01000006.1||0_partial	LZEI01000006.1||0_partial_1	34812
LZEI01000011.1||0_partial	LZEI01000011.1||0_partial_1	29202
QGLN01000004.1||0_partial	QGLN01000004.1||0_partial_1	29091
QGLO01000004.1||0_partial	QGLO01000004.1||0_partial_1	54549
QGLO01000004.1||1_partial	QGLO01000004.1||1_partial_1	23935
QGLO01000004.1||2_partial	QGLO01000004.1||2_partial_1	19190
NASS01000005.1||0_partial	NASS01000005.1||0_partial_1	24184
NASH01000020.1||0_partial	NASH01000020.1||0_partial_1	15842
NASJ01000006.1||0_partial	NASJ01000006.1||0_partial_1	24730
LZGI01000018.1||0_partial	LZGI01000018.1||0_partial_1	53195
LZGH01000009.1||0_partial	LZGH01000009.1||0_partial_1	30155
JAIO01000009.1||0_partial	JAIO01000009.1||0_partial_1	6731
CP029544.1||0_partial	CP029544.1||0_partial_1	15649
KQ033871.1||0_partial	KQ033871.1||0_partial_1	41033
BDDX01000001.1||0_partial	BDDX01000001.1||0_partial_1	40706
KQ440388.1||0_partial	KQ440388.1||0_partial_1	49369
JXCV01000008.1||0_partial	JXCV01000008.1||0_partial_1	19873
CP012920.1||0_partial	CP012920.1||0_partial_1	55914
VCSE01000002.1||0_partial	VCSE01000002.1||0_partial_1	38721
JAAEDX010000001.1||0_partial	JAAEDX010000001.1||0_partial_1	40242
JAAEDX010000001.1||1_partial	JAAEDX010000001.1||1_partial_1	38013
QGLG01000002.1||0_partial	QGLG01000002.1||0_partial_1	45129
QGLG01000002.1||1_partial	QGLG01000002.1||1_partial_1	35734
KQ034021.1||0_partial	KQ034021.1||0_partial_1	37862
CP054657.1||0_partial	CP054657.1||0_partial_1	38842
CP035790.1||0_partial	CP035790.1||0_partial_1	46683
CP035790.1||2_partial	CP035790.1||2_partial_1	12777
CP035790.1||3_partial	CP035790.1||3_partial_1	15242
CP029613.1||0_partial	CP029613.1||0_partial_1	82663
CP051129.1||0_partial	CP051129.1||0_partial_1	42784
CP051129.1||0_partial	CP051129.1||0_partial_2	39066
CP051129.1||1_partial	CP051129.1||1_partial_1	21411
CP051129.1||2_partial	CP051129.1||2_partial_1	13965
AZDD01000002.1||0_partial	AZDD01000002.1||0_partial_1	12777
CP000705.1||0_partial	CP000705.1||0_partial_1	42742
CP000705.1||1_partial	CP000705.1||1_partial_1	49125
CP000705.1||2_partial	CP000705.1||2_partial_1	12777
CP006011.1||0_partial	CP006011.1||0_partial_1	16927
CP011024.1||0_partial	CP011024.1||0_partial_1	42742
CP011024.1||1_partial	CP011024.1||1_partial_1	12777
AP007281.1||0_partial	AP007281.1||0_partial_1	44395
AP007281.1||1_partial	AP007281.1||1_partial_1	48563
AP007281.1||2_partial	AP007281.1||2_partial_1	12777
CP041676.1||0_partial	CP041676.1||0_partial_1	48108
CP041676.1||1_partial	CP041676.1||1_partial_1	38911
CP002844.1||0_partial	CP002844.1||0_partial_1	76496
CP002844.1||1_partial	CP002844.1||1_partial_1	42929
CP029615.1||0_partial	CP029615.1||0_partial_1	25378
CP029615.1||1_partial	CP029615.1||1_partial_1	17454
CP006603.1||0_partial	CP006603.1||0_partial_1	44075
CP027805.1||0_partial	CP027805.1||0_partial_1	19381
CP030089.1||0_partial	CP030089.1||0_partial_1	103891
CP030089.1||1_partial	CP030089.1||1_partial_1	44140
CP030089.1||2_partial	CP030089.1||2_partial_1	39744
CP014786.1||0_partial	CP014786.1||0_partial_1	36848
CP045049.1||0_partial	CP045049.1||0_partial_1	43754
JSAY01000004.1||0_partial	JSAY01000004.1||0_partial_1	34480
JSAY01000005.1||0_partial	JSAY01000005.1||0_partial_1	20412
JSBA01000002.1||0_partial	JSBA01000002.1||0_partial_1	37550
JSBA01000005.1||0_partial	JSBA01000005.1||0_partial_1	20412
JSBE01000003.1||0_partial	JSBE01000003.1||0_partial_1	34479
JSBE01000006.1||0_partial	JSBE01000006.1||0_partial_1	21279
JSAV01000004.1||0_partial	JSAV01000004.1||0_partial_1	34479
JSAV01000006.1||0_partial	JSAV01000006.1||0_partial_1	20412
JSAX01000003.1||0_partial	JSAX01000003.1||0_partial_1	34479
JSAX01000006.1||0_partial	JSAX01000006.1||0_partial_1	20412
JSBF01000005.1||0_partial	JSBF01000005.1||0_partial_1	73122
JSAZ01000001.1||0_partial	JSAZ01000001.1||0_partial_1	32632
JSAZ01000001.1||1_partial	JSAZ01000001.1||1_partial_1	18625
JSAZ01000002.1||0_partial	JSAZ01000002.1||0_partial_1	21104
AP012200.1||0_partial	AP012200.1||0_partial_1	70810
JSAW01000002.1||0_partial	JSAW01000002.1||0_partial_1	37550
JSAW01000003.1||0_partial	JSAW01000003.1||0_partial_1	20412
AP021885.1||0_partial	AP021885.1||0_partial_1	37549
AP021885.1||1_partial	AP021885.1||1_partial_1	20412
AP012282.1||0_partial	AP012282.1||0_partial_1	19133
AP018492.1||0_partial	AP018492.1||0_partial_1	19834
AP018524.1||0_partial	AP018524.1||0_partial_1	72053
AP018526.1||0_partial	AP018526.1||0_partial_1	37549
AP018526.1||1_partial	AP018526.1||1_partial_1	20412
JSBC01000003.1||0_partial	JSBC01000003.1||0_partial_1	34479
JSBC01000005.1||0_partial	JSBC01000005.1||0_partial_1	20412
JSBD01000005.1||0_partial	JSBD01000005.1||0_partial_1	34479
JSBD01000007.1||0_partial	JSBD01000007.1||0_partial_1	20412
CP006683.1||0_partial	CP006683.1||0_partial_1	37550
CP006683.1||1_partial	CP006683.1||1_partial_1	20412
LMYH01000017.1||0_partial	LMYH01000017.1||0_partial_1	27161
MEJG01000001.1||0_partial	MEJG01000001.1||0_partial_1	15662
LMYI01000002.1||0_partial	LMYI01000002.1||0_partial_1	28774
LMYJ01000005.1||0_partial	LMYJ01000005.1||0_partial_1	28774
CP020554.1||0_partial	CP020554.1||0_partial_1	33108
CP020554.1||1_partial	CP020554.1||1_partial_1	26816
CP019794.1||0_partial	CP019794.1||0_partial_1	56520
CP019794.1||1_partial	CP019794.1||1_partial_1	61080
CP019794.1||2_partial	CP019794.1||2_partial_1	47033
CP019794.1||3_partial	CP019794.1||3_partial_1	42072
CP019794.1||4_partial	CP019794.1||4_partial_1	21251
CP019687.1||0_partial	CP019687.1||0_partial_1	58603
CP019687.1||1_partial	CP019687.1||1_partial_1	50193
CP019687.1||2_partial	CP019687.1||2_partial_1	44110
CP019687.1||3_partial	CP019687.1||3_partial_1	54452
CP019687.1||4_partial	CP019687.1||4_partial_1	36579
CP019687.1||5_partial	CP019687.1||5_partial_1	30443
CH981398.1||0_partial	CH981398.1||0_partial_1	18649
CP020327.1||0_partial	CP020327.1||0_partial_1	101729
CP020327.1||0_partial	CP020327.1||0_partial_2	42288
CP020327.1||1_partial	CP020327.1||1_partial_1	44799
CP020327.1||2_partial	CP020327.1||2_partial_1	54148
CP020327.1||3_partial	CP020327.1||3_partial_1	25834
CP020327.1||4_partial	CP020327.1||4_partial_1	19037
CP003355.1||0_partial	CP003355.1||0_partial_1	58504
CP003355.1||1_partial	CP003355.1||1_partial_1	29732
