phage_seqname	bact_access	dsDNAphage	ssDNA	RNA	NCLDV	lavidaviridae	max_score	max_score_group	length	hallmark	viral	cellular
WNID01000009.1||full	WNID01000009.1	0.907	0	0	0.373	0.007	0.907	dsDNAphage	69940	13	40.5	13.9
WNIE01000002.1||full	WNIE01000002.1	0.753	0	0	0.173	0.107	0.753	dsDNAphage	28341	2	36.4	22.7
WNIE01000007.1||full	WNIE01000007.1	0.827	0.02	0	0.207	0.107	0.827	dsDNAphage	6923	1	57.1	28.6
WNIE01000009.1||full	WNIE01000009.1	0.92	0.007	0	0.367	0.02	0.92	dsDNAphage	56728	12	45.9	14.8
WNIE01000016.1||full	WNIE01000016.1	0.46	0.053	0.01	0.233	0.593	0.593	lavidaviridae	7441	0	38.5	7.7
WNIE01000018.1||full	WNIE01000018.1	0.82	0.973	0.37	0.733	0.92	0.973	ssDNA	3131	0	66.7	0
WNIG01000002.1||full	WNIG01000002.1	0.753	0	0	0.173	0.107	0.753	dsDNAphage	28292	2	36.4	22.7
WNIG01000007.1||full	WNIG01000007.1	0.947	0	0	0.38	0.007	0.947	dsDNAphage	10804	1	25	6.2
WNIG01000008.1||full	WNIG01000008.1	0.893	0	0	0.293	0.013	0.893	dsDNAphage	55675	12	43.3	18.3
WNIG01000014.1||full	WNIG01000014.1	0.993	0.02	0.035	0.593	0.607	0.993	dsDNAphage	31645	6	32.4	5.4
WNIG01000015.1||full	WNIG01000015.1	0.987	0.007	0.005	0.533	0.213	0.987	dsDNAphage	29483	11	53.7	2.4
WNIG01000019.1||full	WNIG01000019.1	0.76	1	0.54	0.453	0.613	1	ssDNA	2222	0	66.7	0
WNII01000002.1||full	WNII01000002.1	0.98	0.873	0.27	0.647	0.94	0.98	dsDNAphage	4570	1	75	0
WNII01000003.1||full	WNII01000003.1	0.747	0	0	0.213	0.087	0.747	dsDNAphage	28300	2	34.8	21.7
WNIL01000002.1||full	WNIL01000002.1	0.74	0	0	0.2	0.107	0.74	dsDNAphage	27701	2	36.4	22.7
WNIL01000007.1||full	WNIL01000007.1	0.907	0.007	0	0.407	0.02	0.907	dsDNAphage	53651	12	45.8	15.3
WNIL01000017.1||full	WNIL01000017.1	0.773	0.893	0.435	0.773	0.787	0.893	ssDNA	3191	0	66.7	0
WNIL01000018.1||full	WNIL01000018.1	0.327	0.033	0.125	0.893	0.5	0.893	NCLDV	2242	0	25	0
WNIM01000002.1||full	WNIM01000002.1	0.993	0.88	0.275	0.673	0.953	0.993	dsDNAphage	4567	1	75	0
WNIM01000003.1||full	WNIM01000003.1	0.847	0	0	0.187	0.113	0.847	dsDNAphage	28291	2	36.4	22.7
WNIM01000008.1||full	WNIM01000008.1	1	0.18	0.2	0.507	0.233	1	dsDNAphage	9447	5	54.5	0
WNIM01000009.1||full	WNIM01000009.1	0.88	0	0	0.167	0.027	0.88	dsDNAphage	62005	11	40.3	14.9
WNIM01000015.1||full	WNIM01000015.1	0.987	0.093	0.055	0.76	0.547	0.987	dsDNAphage	35742	5	52.9	0
WNIM01000017.1||full	WNIM01000017.1	0.947	0.493	0.06	0.76	0.467	0.947	dsDNAphage	5433	1	25	0
WNIM01000020.1||full	WNIM01000020.1	0.947	0.667	0.12	0.94	0.347	0.947	dsDNAphage	2632	1	14.3	0
ATSX01000012.1||full	ATSX01000012.1	0.82	0.66	0.065	0.96	0.987	0.987	lavidaviridae	6236	0	44.4	0
ATSX01000006.1||full	ATSX01000006.1	0.687	0	0	0.067	0	0.687	dsDNAphage	33318	2	26.7	26.7
QGTI01000020.1||full	QGTI01000020.1	0.953	0	0	0.08	0.007	0.953	dsDNAphage	29744	5	41.7	25
QGTI01000041.1||full	QGTI01000041.1	1	0.96	0.19	0.7	0.307	1	dsDNAphage	2420	3	100	0
QGLM01000037.1||full	QGLM01000037.1	0.267	0.187	0.325	0.507	0.44	0.507	NCLDV	1789	0	50	0
NARO01000021.1||full	NARO01000021.1	0.987	0.007	0	0.093	0.013	0.987	dsDNAphage	43485	16	61.7	10
NARO01000026.1||full	NARO01000026.1	0.84	0	0	0.24	0	0.84	dsDNAphage	33962	9	33.3	27.3
NARO01000030.1||full	NARO01000030.1	0.98	0.04	0	0.473	0.173	0.98	dsDNAphage	30221	13	61.4	9.1
NARO01000045.1||full	NARO01000045.1	0.247	0.007	0.015	0.7	0.34	0.7	NCLDV	16369	0	21.4	0
NARO01000048.1||full	NARO01000048.1	0.987	0.013	0	0.133	0.027	0.987	dsDNAphage	14235	6	52.2	13
NARO01000072.1||full	NARO01000072.1	0.373	0.193	0.08	0.92	0.113	0.92	NCLDV	2299	0	33.3	0
NARO01000073.1||full	NARO01000073.1	0.833	0.067	0.005	0.473	0.04	0.833	dsDNAphage	2307	2	66.7	33.3
NARO01000074.1||full	NARO01000074.1	0.787	0.127	0.065	0.473	0.107	0.787	dsDNAphage	1897	0	33.3	16.7
NARO01000077.1||full	NARO01000077.1	0.827	0.96	0.115	0.733	0.34	0.96	ssDNA	1683	0	66.7	0
MZNE01000010.1||full	MZNE01000010.1	0.88	0.007	0	0.06	0	0.88	dsDNAphage	64089	2	33.3	30.8
MZNE01000102.1||full	MZNE01000102.1	0.28	0.013	0.055	0.853	0.267	0.853	NCLDV	5694	0	20	10
MZNE01000122.1||full	MZNE01000122.1	0.36	0.687	0.095	1	0.667	1	NCLDV	1497	0	50	0
MZNE01000128.1||full	MZNE01000128.1	0.847	0.16	0.03	0.92	0.027	0.92	NCLDV	1802	0	60	20
MZNE01000129.1||full	MZNE01000129.1	0.867	0.993	0.23	0.78	0.36	0.993	ssDNA	1135	0	66.7	0
MZNE01000019.1||full	MZNE01000019.1	0.913	0	0	0.233	0.007	0.913	dsDNAphage	53128	13	40.7	29.6
MZNE01000041.1||full	MZNE01000041.1	0.953	0.007	0	0.053	0.127	0.953	dsDNAphage	24846	12	54.5	15.2
MZNE01000078.1||full	MZNE01000078.1	0.993	0.013	0	0.48	0.013	0.993	dsDNAphage	10044	1	35	15
MZNE01000088.1||full	MZNE01000088.1	0.9	0.007	0	0.333	0	0.9	dsDNAphage	7793	2	33.3	41.7
MZNE01000097.1||full	MZNE01000097.1	0.547	0.053	0.005	0.807	0.84	0.84	lavidaviridae	6430	0	44.4	11.1
MZNF01000100.1||full	MZNF01000100.1	0.82	0.06	0	0.607	0.08	0.82	dsDNAphage	2555	2	50	50
MZNF01000106.1||full	MZNF01000106.1	0.667	0.107	0.005	0.327	0.013	0.667	dsDNAphage	2504	0	50	33.3
MZNF01000018.1||full	MZNF01000018.1	0.893	0	0	0.047	0.013	0.893	dsDNAphage	57071	12	35.2	22.2
MZNF01000023.1||full	MZNF01000023.1	0.913	0	0	0.273	0.007	0.913	dsDNAphage	50121	13	41.5	28.3
MZNF01000031.1||full	MZNF01000031.1	0.947	0.013	0	0.167	0.02	0.947	dsDNAphage	39505	2	39.3	25
MZNF01000033.1||full	MZNF01000033.1	1	0	0	0.133	0	1	dsDNAphage	33491	1	25.9	10.3
NARP01000024.1||full	NARP01000024.1	0.907	0	0	0.233	0.007	0.907	dsDNAphage	53128	13	41.5	30.2
NARP01000033.1||full	NARP01000033.1	1	0	0	0.133	0	1	dsDNAphage	33491	1	25.9	10.3
NARP01000053.1||full	NARP01000053.1	0.84	0.02	0	0.3	0.227	0.84	dsDNAphage	15443	2	40.9	22.7
NARP01000068.1||full	NARP01000068.1	0.667	0.107	0.005	0.327	0.013	0.667	dsDNAphage	2504	0	50	33.3
NARP01000074.1||full	NARP01000074.1	0.367	0.973	0.28	0.56	0.893	0.973	ssDNA	1946	0	66.7	0
NARQ01000028.1||full	NARQ01000028.1	0.987	0.007	0	0.093	0.013	0.987	dsDNAphage	43485	16	61.7	10
NARQ01000033.1||full	NARQ01000033.1	0.98	0.04	0	0.473	0.173	0.98	dsDNAphage	30221	13	61.4	9.1
NARQ01000038.1||full	NARQ01000038.1	0.64	0	0	0.133	0	0.64	dsDNAphage	25231	3	19.2	26.9
NARQ01000057.1||full	NARQ01000057.1	0.807	0.653	0.015	0.6	0.213	0.807	dsDNAphage	7041	0	36.4	0
NARQ01000060.1||full	NARQ01000060.1	0.98	0.087	0.005	0.113	0.02	0.98	dsDNAphage	5752	6	72.7	27.3
NARQ01000065.1||full	NARQ01000065.1	0.807	0.567	0.1	0.74	0.233	0.807	dsDNAphage	3556	0	100	0
NARQ01000067.1||full	NARQ01000067.1	0.233	0.573	0.125	0.94	0.973	0.973	lavidaviridae	1959	0	50	0
NARQ01000069.1||full	NARQ01000069.1	0.973	0.067	0.015	0.3	0.127	0.973	dsDNAphage	2444	3	75	25
NARQ01000072.1||full	NARQ01000072.1	0.373	0.193	0.08	0.92	0.113	0.92	NCLDV	2299	0	33.3	0
NARQ01000075.1||full	NARQ01000075.1	0.833	0.067	0.005	0.473	0.04	0.833	dsDNAphage	2307	2	66.7	33.3
NARQ01000076.1||full	NARQ01000076.1	0.787	0.127	0.065	0.473	0.107	0.787	dsDNAphage	1897	0	33.3	16.7
NARQ01000079.1||full	NARQ01000079.1	0.827	0.96	0.115	0.733	0.34	0.96	ssDNA	1683	0	66.7	0
MZNG01000103.1||full	MZNG01000103.1	0.933	0.007	0	0.273	0	0.933	dsDNAphage	7126	2	36.4	45.5
MZNG01000105.1||full	MZNG01000105.1	0.307	0.02	0	0.647	0.34	0.647	NCLDV	6885	0	27.3	18.2
MZNG01000132.1||full	MZNG01000132.1	0.167	0.213	0.41	0.693	0.133	0.693	NCLDV	3949	0	25	0
MZNG01000153.1||full	MZNG01000153.1	0.827	0.373	0.08	0.78	0.32	0.827	dsDNAphage	1870	0	66.7	0
MZNG01000162.1||full	MZNG01000162.1	0.267	0.987	0.38	0.84	1	1	lavidaviridae	1827	0	50	0
NARR01000013.1||full	NARR01000013.1	0.94	0	0	0.147	0.007	0.94	dsDNAphage	73890	16	45.2	22.6
NARR01000021.1||full	NARR01000021.1	0.933	0	0	0.153	0.02	0.933	dsDNAphage	47199	15	40.7	20.4
NARR01000049.1||full	NARR01000049.1	0.98	0.02	0.005	0.053	0.34	0.98	dsDNAphage	17312	6	47.8	8.7
NARR01000051.1||full	NARR01000051.1	0.247	0.007	0.015	0.7	0.32	0.7	NCLDV	16369	0	21.4	0
NARR01000081.1||full	NARR01000081.1	0.833	0.067	0.005	0.473	0.04	0.833	dsDNAphage	2307	2	66.7	33.3
NARS01000137.1||full	NARS01000137.1	0.073	0.007	0.035	0.88	0.227	0.88	NCLDV	5983	0	40	0
NARS01000154.1||full	NARS01000154.1	0.62	0.087	0.27	0.84	0.367	0.84	NCLDV	5145	0	14.3	0
NARS01000188.1||full	NARS01000188.1	0.153	0.167	0.315	0.573	0.387	0.573	NCLDV	3150	0	50	0
NARS01000189.1||full	NARS01000189.1	0.08	0.04	0.09	0.62	0.193	0.62	NCLDV	3739	0	25	0
NARS01000209.1||full	NARS01000209.1	0.393	0.027	0	0.607	0.26	0.607	NCLDV	3168	0	60	20
NARS01000214.1||full	NARS01000214.1	0.447	0.773	0.53	0.627	0.96	0.96	lavidaviridae	1749	0	50	0
NARS01000215.1||full	NARS01000215.1	0.927	0.82	0.11	0.627	0.407	0.927	dsDNAphage	2672	0	100	0
NARS01000224.1||full	NARS01000224.1	0.353	0.687	0.095	0.993	0.66	0.993	NCLDV	1521	0	50	0
NARS01000225.1||full	NARS01000225.1	0.82	0.06	0	0.607	0.08	0.82	dsDNAphage	2555	2	50	50
NARS01000233.1||full	NARS01000233.1	0.207	0.207	0.145	0.787	0.68	0.787	NCLDV	2210	0	50	0
NARS01000246.1||full	NARS01000246.1	0.593	0.96	0.2	0.673	0.873	0.96	ssDNA	1824	0	100	0
NARS01000253.1||full	NARS01000253.1	0.827	0.373	0.08	0.78	0.32	0.827	dsDNAphage	1870	0	66.7	0
NARS01000257.1||full	NARS01000257.1	0.407	0.68	0.245	0.607	0.673	0.68	ssDNA	2154	0	33.3	0
NARS01000275.1||full	NARS01000275.1	0.393	0.747	0.255	0.993	0.58	0.993	NCLDV	1855	0	33.3	0
NARS01000282.1||full	NARS01000282.1	0.353	0.113	0.29	0.573	0.193	0.573	NCLDV	1042	0	50	0
NART01000102.1||full	NART01000102.1	0.9	0.007	0	0.333	0	0.9	dsDNAphage	7793	2	33.3	41.7
NART01000106.1||full	NART01000106.1	0.507	0.06	0.005	0.687	0.933	0.933	lavidaviridae	6484	0	44.4	11.1
NART01000114.1||full	NART01000114.1	0.527	0.407	0.42	0.547	0.64	0.64	lavidaviridae	5305	0	66.7	0
NART01000153.1||full	NART01000153.1	0.667	0.107	0.005	0.327	0.013	0.667	dsDNAphage	2504	0	50	33.3
NART01000016.1||full	NART01000016.1	0.907	0	0	0.273	0.007	0.907	dsDNAphage	47588	13	43.1	27.5
NART01000042.1||full	NART01000042.1	0.887	0.02	0.01	0.3	0.047	0.887	dsDNAphage	18974	0	25.8	3.2
NART01000007.1||full	NART01000007.1	0.813	0	0	0.02	0	0.813	dsDNAphage	74132	12	30.9	27.9
NART01000089.1||full	NART01000089.1	0.993	0.027	0.005	0.473	0.013	0.993	dsDNAphage	9756	1	35	15
NART01000009.1||full	NART01000009.1	0.873	0.007	0	0.073	0	0.873	dsDNAphage	63897	2	33.3	30.8
NARY01000065.1||full	NARY01000065.1	0.7	0.093	0.055	0.82	0.14	0.82	NCLDV	2744	0	50	0
NARY01000126.1||full	NARY01000126.1	0.953	0.027	0	0.08	0.38	0.953	dsDNAphage	23266	14	67.7	12.9
NARY01000080.1||full	NARY01000080.1	0.287	0.133	0.08	0.667	0.86	0.86	lavidaviridae	4797	0	50	0
NARY01000077.1||full	NARY01000077.1	0.98	0.407	0.07	0.927	0.4	0.98	dsDNAphage	4099	3	75	0
NARY01000073.1||full	NARY01000073.1	0.16	0.12	0.19	0.593	0.187	0.593	NCLDV	2936	0	33.3	0
NARY01000070.1||full	NARY01000070.1	0.487	0.42	0.345	0.867	0.833	0.867	NCLDV	2928	0	33.3	0
MZNH01000124.1||full	MZNH01000124.1	0.98	0.02	0	0.14	0.027	0.98	dsDNAphage	7557	6	66.7	25
MZNH01000138.1||full	MZNH01000138.1	0.627	0.013	0	0.46	0.187	0.627	dsDNAphage	5777	0	40	10
MZNH01000215.1||full	MZNH01000215.1	0.247	0.1	0.2	0.54	0.28	0.54	NCLDV	4321	0	33.3	0
MZNH01000218.1||full	MZNH01000218.1	0.667	0.053	0.005	0.427	0.287	0.667	dsDNAphage	3800	0	28.6	14.3
MZNH01000232.1||full	MZNH01000232.1	0.42	0.7	0.28	0.973	0.887	0.973	NCLDV	3803	0	50	0
MZNH01000240.1||full	MZNH01000240.1	0.813	0.567	0.105	0.993	0.253	0.993	NCLDV	3653	0	66.7	0
MZNH01000244.1||full	MZNH01000244.1	0.28	0.02	0.025	0.6	0.073	0.6	NCLDV	3616	0	40	20
MZNH01000245.1||full	MZNH01000245.1	0.773	0.92	0.32	0.693	0.967	0.967	lavidaviridae	3520	0	100	0
MZNH01000275.1||full	MZNH01000275.1	0.16	0.12	0.19	0.593	0.187	0.593	NCLDV	2936	0	33.3	0
MZNH01000278.1||full	MZNH01000278.1	0.56	0.34	0.245	0.6	0.46	0.6	NCLDV	2790	0	66.7	0
MZNH01000297.1||full	MZNH01000297.1	0.133	0.187	0.13	0.773	0.22	0.773	NCLDV	2957	0	25	0
MZNH01000298.1||full	MZNH01000298.1	0.687	0.813	0.185	0.74	0.247	0.813	ssDNA	2594	0	66.7	0
MZNH01000300.1||full	MZNH01000300.1	0.893	0.913	0.115	0.533	0.4	0.913	ssDNA	2703	0	50	0
MZNH01000308.1||full	MZNH01000308.1	0.233	0.167	0.14	0.913	0.087	0.913	NCLDV	2266	0	33.3	0
MZNH01000328.1||full	MZNH01000328.1	0.313	0.433	0.36	0.567	0.227	0.567	NCLDV	2213	0	50	0
MZNH01000342.1||full	MZNH01000342.1	0.213	0.193	0.265	0.58	0.227	0.58	NCLDV	2385	0	50	0
MZNH01000351.1||full	MZNH01000351.1	0.233	0.213	0.19	0.84	0.667	0.84	NCLDV	2201	0	50	0
MZNH01000367.1||full	MZNH01000367.1	0.153	0.147	0.075	0.867	0.18	0.867	NCLDV	2144	0	50	0
MZNH01000373.1||full	MZNH01000373.1	0.487	0.153	0.14	0.953	0.207	0.953	NCLDV	1605	0	50	0
MZNH01000374.1||full	MZNH01000374.1	0.78	0.973	0.175	0.62	0.947	0.973	ssDNA	2038	0	66.7	0
MZNH01000382.1||full	MZNH01000382.1	0.373	0.32	0.065	0.513	0.067	0.513	NCLDV	2069	0	33.3	0
MZNH01000387.1||full	MZNH01000387.1	0.547	0.62	0.13	0.74	0.28	0.74	NCLDV	1744	0	50	0
MZNH01000401.1||full	MZNH01000401.1	0.54	0.947	0.15	0.867	0.307	0.947	ssDNA	1161	0	50	0
MZNH01000406.1||full	MZNH01000406.1	0.133	0.16	0.37	0.733	0.327	0.733	NCLDV	1772	0	50	0
MZNH01000415.1||full	MZNH01000415.1	0.487	0.08	0.04	0.947	0.147	0.947	NCLDV	1472	0	33.3	0
MZNH01000051.1||full	MZNH01000051.1	0.987	0.013	0.005	0.34	0.08	0.987	dsDNAphage	13063	10	78.6	14.3
MZNH01000097.1||full	MZNH01000097.1	0.18	0.027	0.185	0.613	0.5	0.613	NCLDV	8261	0	28.6	0
NARX01000107.1||full	NARX01000107.1	0.2	0.033	0.135	0.993	0.347	0.993	NCLDV	8396	0	28.6	0
NARX01000136.1||full	NARX01000136.1	0.493	0.153	0.135	0.72	0.387	0.72	NCLDV	5225	0	42.9	0
NARX01000138.1||full	NARX01000138.1	0.673	0.407	0.345	0.593	0.74	0.74	lavidaviridae	5292	0	66.7	0
NARX01000143.1||full	NARX01000143.1	0.54	0.053	0.01	0.573	0.233	0.573	NCLDV	5166	0	42.9	0
NARX01000146.1||full	NARX01000146.1	0.773	0.633	0.07	0.953	0.473	0.953	NCLDV	3945	0	100	0
NARX01000016.1||full	NARX01000016.1	0.987	0.033	0	0.4	0.14	0.987	dsDNAphage	33272	13	61.2	10.2
NARX01000172.1||full	NARX01000172.1	0.567	0.087	0.065	0.6	0.127	0.6	NCLDV	3632	0	50	0
NARX01000174.1||full	NARX01000174.1	0.833	0.693	0.18	0.733	0.907	0.907	lavidaviridae	3535	0	75	0
NARX01000180.1||full	NARX01000180.1	0.793	0.933	0.325	0.833	0.953	0.953	lavidaviridae	3139	0	100	0
NARX01000195.1||full	NARX01000195.1	0.413	0.8	0.29	0.667	1	1	lavidaviridae	2138	0	33.3	0
NARX01000222.1||full	NARX01000222.1	0.787	0.127	0.065	0.473	0.107	0.787	dsDNAphage	1897	0	33.3	16.7
NARX01000235.1||full	NARX01000235.1	0.833	0.96	0.115	0.733	0.347	0.96	ssDNA	1683	0	66.7	0
NARX01000236.1||full	NARX01000236.1	0.12	0.1	0.195	0.88	0.353	0.88	NCLDV	1931	0	50	0
NARX01000238.1||full	NARX01000238.1	0.487	0.16	0.055	0.833	0.24	0.833	NCLDV	1831	0	33.3	0
NARX01000029.1||full	NARX01000029.1	0.987	0.007	0	0.033	0.007	0.987	dsDNAphage	25722	8	62.5	10
NARX01000053.1||full	NARX01000053.1	0.787	0	0	0.333	0.013	0.787	dsDNAphage	16991	3	38.5	15.4
NARX01000067.1||full	NARX01000067.1	1	0.107	0.09	0.953	0.387	1	dsDNAphage	13651	7	61.5	0
NARX01000081.1||full	NARX01000081.1	1	0.067	0.005	0.673	0.087	1	dsDNAphage	11372	11	84.6	7.7
NARX01000099.1||full	NARX01000099.1	0.96	0.047	0	0.2	0.047	0.96	dsDNAphage	8405	1	46.7	13.3
NARU01000112.1||full	NARU01000112.1	0.987	0.013	0	0.473	0.013	0.987	dsDNAphage	9933	1	35	15
NARU01000012.1||full	NARU01000012.1	1	0.013	0	0.513	0.093	1	dsDNAphage	31774	13	51.3	10.3
NARU01000131.1||full	NARU01000131.1	0.8	0.04	0	0.56	0.127	0.8	dsDNAphage	8295	0	56.2	12.5
NARU01000137.1||full	NARU01000137.1	0.64	0.053	0	0.687	0.92	0.92	lavidaviridae	6886	0	40	10
NARU01000158.1||full	NARU01000158.1	0.067	0.007	0.025	0.607	0.113	0.607	NCLDV	5971	0	14.3	0
NARU01000167.1||full	NARU01000167.1	0.473	0.027	0.04	0.84	0.18	0.84	NCLDV	5340	0	30	10
NARU01000018.1||full	NARU01000018.1	0.953	0.007	0	0.053	0.127	0.953	dsDNAphage	24846	12	54.5	15.2
NARU01000199.1||full	NARU01000199.1	0.76	0.54	0.105	0.747	0.22	0.76	dsDNAphage	3554	0	100	0
NARU01000208.1||full	NARU01000208.1	0.22	0.107	0.27	0.887	0.6	0.887	NCLDV	3228	0	50	0
NARU01000223.1||full	NARU01000223.1	0.44	0.793	0.555	0.64	0.96	0.96	lavidaviridae	1749	0	50	0
NARU01000227.1||full	NARU01000227.1	0.127	0.047	0.19	0.947	0.267	0.947	NCLDV	3054	0	20	0
NARU01000233.1||full	NARU01000233.1	0.633	0.9	0.325	nan	0.64	0.9	ssDNA	1355	0	50	0
