protein	nogbit	nogcat	nogdomain	nogevalue	noghit	nogname
ADFW01000001.1||0_partial_1__00052	99.3	S	Virus	2.20E-28	4QC8P	Phage-related baseplate assembly protein
ADFW01000001.1||0_partial_1__00053	96.8	S	Virus	8.90E-28	4QFEY	Phage P2 GpU
ADFW01000001.1||0_partial_1__00054	42.6	S	Bacteria	5.20E-11	31BSJ	unknown
ADFW01000001.1||0_partial_1__00055	261.4	S	Bacteria	1.00E-77	COG3948	Baseplate J-like protein
ADFW01000001.1||0_partial_1__00056	131.9	S	Virus	1.60E-38	4QBSC	Phage tail protein (Tail_P2_I)
ADFW01000001.1||0_partial_1__00057	101.9	S	Bacteria	3.10E-29	COG5301	"cellulose 1,4-beta-cellobiosidase activity"
ADFW01000001.1||0_partial_1__00058	196.3	S	Virus	8.30E-59	4QCNP	
ADFW01000001.1||0_partial_1__00059	114.1	S	Virus	1.90E-33	4QEHA	
ADFW01000001.1||0_partial_1__00060	180.5	S	Virus	5.30E-54	4QDII	Pfam:Holin_BhlA
ADFW01000001.1||0_partial_1__00061	112.1	M	Bacteria	2.40E-32	COG5632	N-Acetylmuramoyl-L-alanine amidase
ADFW01000001.1||0_partial_1__00062	160	S	Virus	1.10E-47	4QCKR	
ADFW01000001.1||0_partial_1__00064	117.5	S	Bacteria	7.70E-34	33C4R	unknown
ADFW01000001.1||0_partial_1__00066	238	S	Eukarya	1.50E-70	2SSV3	"Transposase, Mutator family"
ADFW01000001.1||0_partial_1__00067	96.3	S	Bacteria	1.70E-27	33R9M	unknown
ADFW01000001.1||0_partial_1__00068	191.5	S	Bacteria	4.20E-57	33IDB	unknown
ADFW01000001.1||0_partial_1__00069	153.8	S	Bacteria	1.50E-45	2ZQQ5	unknown
ADFW01000001.1||0_partial_1__00070	66.3	S	Bacteria	2.30E-18	COG0401	homolog of Blt101
ADFW01000001.1||0_partial_1__00071	60	S	Bacteria	1.40E-16	33BHJ	unknown
ADFW01000001.1||0_partial_1__00073	465.6	S	Bacteria	1.30E-139	COG2718	Belongs to the UPF0229 family
ADFW01000001.1||0_partial_1__00074	39.1	S	Bacteria	4.80E-10	COG0488	(ABC) transporter
ADFW01000001.1||0_partial_1__00078	34.2	S	Archaea	1.30E-08	arCOG01994	membrane
ADFW01000001.1||0_partial_1__00079	26.4	L	Archaea	3.90E-06	arCOG01242	integrase family
ADFW01000001.1||0_partial_1__00080	88.9	S	Bacteria	2.70E-25	COG2764	glyoxalase bleomycin resistance protein dioxygenase
ADFW01000001.1||0_partial_1__00081	143.9	S	Bacteria	2.40E-42	COG2363	Small membrane protein
ADFW01000001.1||0_partial_1__00082	279	T	Bacteria	3.70E-83	COG3852	Histidine kinase
ADFW01000001.1||0_partial_1__00084	88.6	S	Bacteria	6.30E-25	332AG	unknown
ADFW01000001.1||0_partial_1__00085	154.5	S	Bacteria	6.30E-46	COG3377	Domain of unknown function (DUF1805)
ADFW01000001.1||0_partial_1__00086	56.9	K	Bacteria	1.70E-15	COG4977	sequence-specific DNA binding
ADFW01000001.1||0_partial_1__00087	201.5	I	Bacteria	1.50E-59	COG1182	"Catalyzes the reductive cleavage of azo bond in aromatic azo compounds to the corresponding amines. Requires NADH, but not NADPH, as an electron donor for its activity"
ADFW01000001.1||0_partial_1__00088	408.9	J	Bacteria	1.50E-122	COG0182	Catalyzes the interconversion of methylthioribose-1- phosphate (MTR-1-P) into methylthioribulose-1-phosphate (MTRu-1- P)
ADFW01000001.1||0_partial_1__00089	500	S	Bacteria	5.30E-150	COG4857	Catalyzes the phosphorylation of methylthioribose into methylthioribose-1-phosphate
ADFW01000001.1||0_partial_1__00090	161.5	P	Bacteria	3.40E-47	COG0783	Belongs to the Dps family
ADFW01000001.1||0_partial_1__00091	184.3	S	Bacteria	3.40E-54	COG4293	Protein conserved in bacteria
ADFW01000001.1||0_partial_1__00092	397.8	O	Bacteria	7.60E-119	COG0396	ATPase activity
ADFW01000001.1||0_partial_1__00093	319.4	O	Bacteria	3.20E-95	COG0719	Fe-S assembly protein
ADFW01000001.1||0_partial_1__00094	550.6	S	Bacteria	3.80E-165	COG2166	iron-sulfur cluster assembly
ADFW01000001.1||0_partial_1__00095	146.5	C	Bacteria	1.70E-42	COG0822	iron-sulfur transferase activity
ADFW01000001.1||0_partial_1__00096	546.3	O	Eukarya	5.30E-164	2QRGW	iron-sulfur cluster assembly
ADFW01000001.1||0_partial_1__00097	35	S	Virus	1.10E-08	4QAQE	Phage integrase family
ADFW01000001.1||0_partial_1__00098	42.2	S	Virus	7.10E-11	4QAQE	Phage integrase family
ADFW01000001.1||0_partial_1__00099	43.8	S	Bacteria	2.00E-11	32423	unknown
ADFW01000001.1||0_partial_1__00100	528.3	S	Bacteria	2.90E-159	33VJF	unknown
ADFW01000001.1||0_partial_1__00104	71.3	S	Bacteria	1.20E-19	2ZQEV	unknown
ADFW01000001.1||0_partial_1__00105	183.6	S	Virus	5.80E-55	4QDII	Pfam:Holin_BhlA
ADFW01000001.1||0_partial_1__00106	115.1	M	Bacteria	3.00E-33	COG5632	N-Acetylmuramoyl-L-alanine amidase
ADFW01000001.1||0_partial_1__00107	154.2	S	Virus	7.00E-46	4QCKR	
ADFW01000001.1||0_partial_1__00108	33.3	S	Bacteria	3.90E-08	327FB	CENP-B N-terminal DNA-binding domain
ADFW01000001.1||0_partial_1__00109	79.5	L	Archaea	2.40E-22	arCOG10339	Integrase core domain
ADFW01000001.1||0_partial_1__00110	169.6	S	Bacteria	1.40E-50	301EI	STAS-like domain of unknown function (DUF4325)
ADFW01000001.1||0_partial_1__00111	66.7	E	Eukarya	1.60E-18	2QVCA	glycine amidinotransferase activity
ADFW01000001.1||0_partial_1__00113	19.3	S	Eukarya	0.00042	2TJWR	unknown
ADFW01000001.1||0_partial_1__00114	234.2	S	Eukarya	2.00E-69	2SSV3	"Transposase, Mutator family"
ADFW01000001.1||0_partial_1__00116	41.5	S	Bacteria	1.00E-10	337YU	unknown
ADFW01000001.1||0_partial_1__00117	25.7	S	Bacteria	1.00E-05	305RG	unknown
ADFW01000001.1||0_partial_1__00118	212.8	S	Bacteria	7.90E-63	30JW9	unknown
ADFW01000001.1||0_partial_1__00119	97.2	S	Bacteria	7.60E-28	30JW9	unknown
ADFW01000001.1||0_partial_1__00120	717	S	Bacteria	2.00E-215	30JW9	unknown
ADFW01000001.1||0_partial_1__00121	139.2	S	Bacteria	7.00E-41	32UIX	unknown
ADFW01000001.1||0_partial_1__00122	33.6	L	Bacteria	1.80E-08	COG2963	transposase activity
ADFW01000001.1||0_partial_1__00123	222.3	S	Virus	9.40E-66	4QBRE	Integrase core domain
ADFW01000001.1||0_partial_1__00124	27.6	L	Bacteria	1.10E-06	COG2963	transposase activity
ADFW01000001.1||0_partial_1__00125	56.1	S	Bacteria	4.00E-15	COG3863	"Permuted papain-like amidase enzyme, YaeF/YiiX, C92 family"
ADFW01000001.1||0_partial_1__00127	21	S	Bacteria	0.00024	337YU	unknown
ADFW01000001.1||0_partial_1__00128	200.8	S	Bacteria	5.70E-60	33XAK	unknown
ADFW01000001.1||0_partial_1__00129	238	S	Eukarya	1.50E-70	2SSV3	"Transposase, Mutator family"
ADFW01000001.1||0_partial_1__00130	152.5	T	Bacteria	1.00E-44	COG2206	"PFAM metal-dependent phosphohydrolase, HD sub domain"
ADFW01000001.1||0_partial_1__00131	30.6	S	Bacteria	2.90E-07	33A46	unknown
ADFW01000001.1||0_partial_1__00133	225.2	F	Archaea	1.90E-66	arCOG02832	"COG0737 5'-nucleotidase 2',3'-cyclic phosphodiesterase and related esterases"
ADFW01000001.1||0_partial_1__00134	292.7	S	Eukarya	2.60E-87	2SQUZ	Bacitracin resistance protein BacA
ADFW01000001.1||0_partial_1__00135	87.8	P	Archaea	7.70E-25	arCOG00938	PFAM Radical SAM domain protein
ADFW01000001.1||0_partial_1__00136	420.1	S	Archaea	7.70E-126	arCOG00626	COG1253 Hemolysins and related proteins containing CBS domains
ADFW01000001.1||0_partial_1__00137	151	S	Virus	4.60E-44	4QBRE	Integrase core domain
ADFW01000001.1||0_partial_1__00138	24.3	L	Eukarya	2.20E-05	2SPGZ	Integrase core domain
ADFW01000001.1||0_partial_1__00139	96	L	Bacteria	2.50E-27	COG2963	transposase activity
ADFW01000001.1||0_partial_1__00140	19.2	S	Eukarya	0.00068	2T60V	unknown
ADFW01000001.1||0_partial_1__00141	117	S	Bacteria	1.10E-33	32Y4N	CotJB protein
ADFW01000001.1||0_partial_1__00142	177.3	P	Bacteria	3.30E-52	COG3546	catalase activity
ADFW01000001.1||0_partial_1__00143	396.5	S	Virus	1.80E-118	4QBIH	recombinase activity
ADFW01000001.1||0_partial_1__00144	95.3	K	Bacteria	5.60E-27	COG2932	Transcriptional regulator
ADFW01000001.1||0_partial_1__00145	39.3	K	Bacteria	6.70E-10	COG3655	Transcriptional regulator
ADFW01000001.1||0_partial_1__00147	143.5	S	Virus	1.30E-42	4QC3C	
ADFW01000001.1||0_partial_1__00148	147.6	S	Virus	8.90E-44	4QEAN	
ADFW01000001.1||0_partial_1__00149	172.7	S	Bacteria	1.30E-50	COG3645	SOS response
ADFW01000001.1||0_partial_1__00150	27	S	Bacteria	2.50E-06	33XKX	unknown
ADFW01000001.1||0_partial_1__00151	174.6	S	Virus	3.60E-52	4QE9S	
ADFW01000001.1||0_partial_1__00153	387.2	S	Virus	1.50E-115	4QG2D	
ADFW01000001.1||0_partial_1__00154	103.3	S	Virus	1.20E-29	4QG2D	
ADFW01000001.1||0_partial_1__00155	167	S	Virus	8.40E-50	4QD9Q	
ADFW01000001.1||0_partial_1__00156	152.7	L	Bacteria	9.60E-45	COG3723	"Recombinational DNA repair protein, rece pathway"
ADFW01000001.1||0_partial_1__00157	232	J	Archaea	6.10E-69	arCOG00502	PFAM beta-lactamase domain protein
ADFW01000001.1||0_partial_1__00158	175.3	S	Virus	4.70E-52	4QAII	
ADFW01000001.1||0_partial_1__00159	173.1	S	Bacteria	7.80E-51	33QUR	unknown
ADFW01000001.1||0_partial_1__00160	70.4	S	Bacteria	1.40E-19	2ZF58	unknown
ADFW01000001.1||0_partial_1__00161	268.3	L	Eukarya	8.90E-80	2QRXQ	DnaB-like helicase C terminal domain
ADFW01000001.1||0_partial_1__00162	222.5	S	Virus	6.00E-67	4QGFE	
ADFW01000001.1||0_partial_1__00163	182.5	S	Virus	1.20E-53	4QAIJ	C-5 cytosine-specific DNA methylase
ADFW01000001.1||0_partial_1__00164	22.4	S	Bacteria	0.00011	31SZK	unknown
ADFW01000001.1||0_partial_1__00165	181.4	S	Virus	2.60E-54	4QBPM	
ADFW01000001.1||0_partial_1__00166	164.1	S	Bacteria	2.90E-48	324KK	unknown
ADFW01000001.1||0_partial_1__00167	329.3	S	Virus	2.40E-99	4QDAG	
ADFW01000001.1||0_partial_1__00168	246.8	S	Virus	8.30E-74	4QCRW	
ADFW01000001.1||0_partial_1__00170	310	S	Virus	2.90E-92	4QBIH	recombinase activity
ADFW01000001.1||0_partial_1__00171	38.9	S	Virus	4.50E-10	4QBIH	recombinase activity
ADFW01000001.1||0_partial_1__00172	25.1	S	Bacteria	1.10E-05	32KQD	unknown
ADFW01000001.1||0_partial_1__00173	203.3	S	Eukarya	5.10E-60	2SSV3	"Transposase, Mutator family"
ADFW01000001.1||0_partial_1__00174	198.5	S	Eukarya	1.40E-58	2SSV3	"Transposase, Mutator family"
ADFW01000001.1||0_partial_1__00175	268	S	Bacteria	5.70E-80	COG1272	"protein, Hemolysin III"
ADFW01000001.1||0_partial_1__00176	101.7	L	Eukarya	3.30E-29	2S94R	bacterial (prokaryotic) histone like domain
ADFW01000001.1||0_partial_1__00177	83.5	K	Bacteria	1.20E-23	COG1278	Cold shock
ADFW01000001.1||0_partial_1__00178	225.4	S	Eukarya	1.20E-66	2SHR7	"Phage integrase, N-terminal SAM-like domain"
ADFW01000001.1||0_partial_1__00179	419.4	S	Bacteria	2.80E-125	343AG	Putative mucin or carbohydrate-binding module
ADFW01000001.1||0_partial_1__00180	647.6	S	Bacteria	3.40E-194	343AG	Putative mucin or carbohydrate-binding module
ADFW01000001.1||0_partial_1__00181	71.8	S	Bacteria	2.40E-20	343AG	Putative mucin or carbohydrate-binding module
ADFW01000001.1||0_partial_1__00182	20	S	Eukarya	0.00062	2S6BB	C2H2 zinc-finger
ADFW01000001.1||0_partial_1__00183	74.8	L	Archaea	6.30E-21	arCOG10339	Integrase core domain
ADFW01000001.1||0_partial_1__00184	238	S	Eukarya	1.50E-70	2SSV3	"Transposase, Mutator family"
ADFW01000001.1||0_partial_1__00185	377.8	C	Bacteria	4.50E-113	COG0039	L-malate dehydrogenase activity
ADFW01000001.1||0_partial_1__00186	114.3	Q	Archaea	5.10E-33	arCOG01791	Methyltransferase
ADFW01000001.1||0_partial_1__00187	214.6	S	Archaea	1.90E-63	arCOG00498	"COG0491 Zn-dependent hydrolases, including glyoxylases"
ADFW01000001.1||0_partial_1__00188	215.7	S	Virus	1.20E-63	4QAQE	Phage integrase family
ADFW01000001.1||0_partial_1__00189	102.3	S	Virus	2.10E-29	4QCCB	Pfam:Peptidase_M78
ADFW01000001.1||0_partial_1__00190	85.9	K	Bacteria	3.40E-24	COG1813	peptidyl-tyrosine sulfation
ADFW01000001.1||0_partial_1__00191	42.7	K	Bacteria	4.30E-11	2ZW9J	Helix-turn-helix domain
ADFW01000001.1||0_partial_1__00192	182.8	S	Bacteria	8.80E-54	331QR	unknown
ADFW01000001.1||0_partial_1__00193	44.8	S	Bacteria	1.50E-11	348UT	unknown
ADFW01000001.1||0_partial_1__00194	129.4	S	Bacteria	1.10E-37	COG3646	Phage regulatory protein
ADFW01000001.1||0_partial_1__00195	145.7	S	Bacteria	3.30E-43	34AHR	Helix-turn-helix domain
ADFW01000001.1||0_partial_1__00196	99	S	Virus	2.80E-28	4QEX6	
ADFW01000001.1||0_partial_1__00197	18.4	S	Virus	0.0008	4QAYV	Phage portal protein
ADFW01000001.1||0_partial_1__00199	117	S	Virus	2.50E-34	4QC3C	
ADFW01000001.1||0_partial_1__00200	130.1	S	Virus	2.50E-38	4QEAN	
ADFW01000001.1||0_partial_1__00201	60.3	S	Bacteria	1.40E-16	33J4E	unknown
ADFW01000001.1||0_partial_1__00208	21.2	S	Archaea	0.0002	arCOG06113	unknown
ADFW01000001.1||0_partial_1__00210	53.7	S	Virus	1.80E-14	4QAIJ	C-5 cytosine-specific DNA methylase
ADFW01000001.1||0_partial_1__00213	109.8	K	Bacteria	1.50E-31	COG2002	toxin-antitoxin pair type II binding
ADFW01000001.1||0_partial_1__00216	71	S	Bacteria	1.20E-19	33P4N	unknown
ADFW01000001.1||0_partial_1__00217	381.5	S	Virus	4.70E-114	4QC5D	Protein of unknown function (DUF2800)
ADFW01000001.1||0_partial_1__00218	230.8	S	Bacteria	9.90E-69	2Z8YX	Protein of unknown function (DUF2815)
ADFW01000001.1||0_partial_1__00219	348.9	S	Virus	5.90E-104	4QAKM	DNA polymerase family A
ADFW01000001.1||0_partial_1__00220	27.4	S	Bacteria	2.90E-06	31SZK	unknown
ADFW01000001.1||0_partial_1__00221	75	S	Bacteria	7.20E-21	2ZMF3	unknown
ADFW01000001.1||0_partial_1__00223	95	S	Virus	3.40E-27	4QAXV	YopX protein
ADFW01000001.1||0_partial_1__00224	24.1	S	Eukarya	6.90E-06	2S8C4	unknown
ADFW01000001.1||0_partial_1__00226	19.4	S	Virus	0.00091	4QCRP	
ADFW01000001.1||0_partial_1__00227	162.9	S	Bacteria	1.10E-47	33C23	unknown
ADFW01000001.1||0_partial_1__00228	188.7	S	Bacteria	1.00E-55	32KGP	unknown
ADFW01000001.1||0_partial_1__00229	709.8	S	Virus	6.40E-213	4QCHV	Virulence-associated protein E
ADFW01000001.1||0_partial_1__00230	128	S	Bacteria	1.20E-37	32Y88	VRR-NUC domain protein
