prokka_locus_tag,phage_seq,protein_num,length_bp_prok,gene_prok,EC_number+prok,phrog_name,phrog_num,COG_prok,product_prok
AARF01000119.1||full__00007,AARF01000119.1||full,AARF01000119.1||full_7,234,,,,,,hypothetical protein
AARF01000119.1||full__00008,AARF01000119.1||full,AARF01000119.1||full_8,375,,phrog_132,phrog,132,,head-tail adaptor
AARF01000119.1||full__00009,AARF01000119.1||full,AARF01000119.1||full_9,360,,phrog_615,phrog,615,,head-tail adaptor
AARF01000119.1||full__00010,AARF01000119.1||full,AARF01000119.1||full_10,411,,phrog_5,phrog,5,,tail completion or Neck1 protein
AARF01000119.1||full__00011,AARF01000119.1||full,AARF01000119.1||full_11,411,,phrog_525,phrog,525,,hypothetical protein
AARF01000119.1||full__00012,AARF01000119.1||full,AARF01000119.1||full_12,183,,phrog_966,phrog,966,,hypothetical protein
AARF01000119.1||full__00013,AARF01000119.1||full,AARF01000119.1||full_13,1332,,phrog_279,phrog,279,,tail sheath
AARF01000119.1||full__00014,AARF01000119.1||full,AARF01000119.1||full_14,198,,,,,,hypothetical protein
AARF01000119.1||full__00015,AARF01000119.1||full,AARF01000119.1||full_15,270,,phrog_365,phrog,365,,tail protein
AARF01000119.1||full__00016,AARF01000119.1||full,AARF01000119.1||full_16,426,,phrog_389,phrog,389,,tail protein XkdN-like protein
AARF01000119.1||full__00017,AARF01000119.1||full,AARF01000119.1||full_17,171,,phrog_10943,phrog,10943,,hypothetical protein
AARF01000119.1||full__00018,AARF01000119.1||full,AARF01000119.1||full_18,2109,,phrog_1068,phrog,1068,,tail length tape measure protein
AARF01000119.1||full__00019,AARF01000119.1||full,AARF01000119.1||full_19,639,,phrog_380,phrog,380,,endolysin
AARF01000119.1||full__00020,AARF01000119.1||full,AARF01000119.1||full_20,984,,phrog_400,phrog,400,,tail protein
AARF01000119.1||full__00021,AARF01000119.1||full,AARF01000119.1||full_21,243,,phrog_579,phrog,579,,hypothetical protein
AARF01000119.1||full__00022,AARF01000119.1||full,AARF01000119.1||full_22,411,,phrog_120,phrog,120,,baseplate protein
AARF01000119.1||full__00023,AARF01000119.1||full,AARF01000119.1||full_23,1077,,phrog_6,phrog,6,,baseplate protein
AARF01000119.1||full__00024,AARF01000119.1||full,AARF01000119.1||full_24,582,,phrog_521,phrog,521,,tail protein
AARF01000119.1||full__00025,AARF01000119.1||full,AARF01000119.1||full_25,279,,phrog_6293,phrog,6293,,hypothetical protein
AARF01000119.1||full__00026,AARF01000119.1||full,AARF01000119.1||full_26,1404,,phrog_12615,phrog,12615,,hypothetical protein
AARF01000119.1||full__00027,AARF01000119.1||full,AARF01000119.1||full_27,396,,,,,,hypothetical protein
AARF01000119.1||full__00028,AARF01000119.1||full,AARF01000119.1||full_28,159,,phrog_5056,phrog,5056,,hypothetical protein
AARF01000119.1||full__00029,AARF01000119.1||full,AARF01000119.1||full_29,240,,phrog_2429,phrog,2429,,involved in bacteriocin production or immunity
AARF01000119.1||full__00030,AARF01000119.1||full,AARF01000119.1||full_30,681,,phrog_3088,phrog,3088,,amidase
AARF01000119.1||full__00031,AARF01000119.1||full,AARF01000119.1||full_31,465,,phrog_1384,phrog,1384,,Mom-like DNA modification protein
AARF01000119.1||full__00032,AARF01000119.1||full,AARF01000119.1||full_32,279,,phrog_419,phrog,419,,hypothetical protein
AARF01000119.1||full__00033,AARF01000119.1||full,AARF01000119.1||full_33,243,,phrog_1299,phrog,1299,,holin
AARF01000119.1||full__00034,AARF01000119.1||full,AARF01000119.1||full_34,1113,,phrog_3757,phrog,3757,,hypothetical protein
AARF01000123.1||full__00001,AARF01000123.1||full,AARF01000123.1||full_1,561,,phrog_139,phrog,139,,deoxynucleoside monophosphate kinase
AARF01000123.1||full__00002,AARF01000123.1||full,AARF01000123.1||full_2,930,,phrog_17910,phrog,17910,,hypothetical protein
AARF01000123.1||full__00003,AARF01000123.1||full,AARF01000123.1||full_3,372,,phrog_85,phrog,85,,thymidylate synthase
AARF01000123.1||full__00004,AARF01000123.1||full,AARF01000123.1||full_4,282,,,,,,hypothetical protein
AARF01000123.1||full__00005,AARF01000123.1||full,AARF01000123.1||full_5,615,,phrog_9897,phrog,9897,,hypothetical protein
AARF01000123.1||full__00006,AARF01000123.1||full,AARF01000123.1||full_6,327,,,,,,hypothetical protein
AARF01000123.1||full__00007,AARF01000123.1||full,AARF01000123.1||full_7,339,,,,,,hypothetical protein
AARF01000123.1||full__00008,AARF01000123.1||full,AARF01000123.1||full_8,405,,phrog_34113,phrog,34113,,hypothetical protein
AARF01000123.1||full__00009,AARF01000123.1||full,AARF01000123.1||full_9,291,,,,,,hypothetical protein
AARF01000123.1||full__00010,AARF01000123.1||full,AARF01000123.1||full_10,621,,phrog_135,phrog,135,,dUTPase
AARF01000123.1||full__00011,AARF01000123.1||full,AARF01000123.1||full_11,120,,,,,,hypothetical protein
AARF01000123.1||full__00012,AARF01000123.1||full,AARF01000123.1||full_12,213,,,,,,hypothetical protein
AARF01000123.1||full__00013,AARF01000123.1||full,AARF01000123.1||full_13,189,,,,,,hypothetical protein
AARF01000123.1||full__00014,AARF01000123.1||full,AARF01000123.1||full_14,1032,,phrog_86,phrog,86,,ribonucleoside diphosphate reductase small subunit
AARF01000123.1||full__00015,AARF01000123.1||full,AARF01000123.1||full_15,2190,,phrog_84,phrog,84,,ribonucleoside-diphosphate reductase large subunit
AARF01000123.1||full__00016,AARF01000123.1||full,AARF01000123.1||full_16,183,,,,,,hypothetical protein
AARF01000123.1||full__00017,AARF01000123.1||full,AARF01000123.1||full_17,309,,phrog_159,phrog,159,,RuvC-like Holliday junction resolvase
AARF01000123.1||full__00018,AARF01000123.1||full,AARF01000123.1||full_18,996,,phrog_1706,phrog,1706,,CRISPR/Cas system associated
AARF01000123.1||full__00019,AARF01000123.1||full,AARF01000123.1||full_19,612,,phrog_192,phrog,192,,DNA polymerase exonuclease subunit
AARF01000123.1||full__00020,AARF01000123.1||full,AARF01000123.1||full_20,1128,,phrog_10285,phrog,10285,,DNA polymerase
AARF01000123.1||full__00021,AARF01000123.1||full,AARF01000123.1||full_21,327,,phrog_4867,phrog,4867,,hypothetical protein
AARF01000123.1||full__00022,AARF01000123.1||full,AARF01000123.1||full_22,1722,,phrog_12241,phrog,12241,,DNA polymerase
AARF01000123.1||full__00023,AARF01000123.1||full,AARF01000123.1||full_23,807,,phrog_15694,phrog,15694,,hypothetical protein
AARF01000123.1||full__00024,AARF01000123.1||full,AARF01000123.1||full_24,210,,phrog_4331,phrog,4331,,hypothetical protein
AARF01000247.1||full__00001,AARF01000247.1||full,AARF01000247.1||full_1,177,,,,,,hypothetical protein
AARF01000247.1||full__00002,AARF01000247.1||full,AARF01000247.1||full_2,426,,,,,,hypothetical protein
AARF01000247.1||full__00003,AARF01000247.1||full,AARF01000247.1||full_3,351,,phrog_14350,phrog,14350,,hypothetical protein
AARF01000247.1||full__00004,AARF01000247.1||full,AARF01000247.1||full_4,246,,,,,,hypothetical protein
AARF01000247.1||full__00005,AARF01000247.1||full,AARF01000247.1||full_5,1014,,,,,,hypothetical protein
AARF01000247.1||full__00006,AARF01000247.1||full,AARF01000247.1||full_6,276,,phrog_25315,phrog,25315,,hypothetical protein
AARF01000247.1||full__00007,AARF01000247.1||full,AARF01000247.1||full_7,870,,phrog_2742,phrog,2742,,endolysin
AARF01000247.1||full__00008,AARF01000247.1||full,AARF01000247.1||full_8,417,,phrog_199,phrog,199,,holin
AARF01000247.1||full__00009,AARF01000247.1||full,AARF01000247.1||full_9,450,,phrog_5056,phrog,5056,,hypothetical protein
AARF01000247.1||full__00010,AARF01000247.1||full,AARF01000247.1||full_10,2322,,phrog_12312,phrog,12312,,virion structural protein
AARF01000247.1||full__00011,AARF01000247.1||full,AARF01000247.1||full_11,1458,,phrog_202,phrog,202,,distal tail protein Dit
ADFW01000001.1||0_partial_1__00001,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_1,540,,,,,,hypothetical protein
ADFW01000001.1||0_partial_1__00002,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_2,216,,,,,,hypothetical protein
ADFW01000001.1||0_partial_1__00003,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_3,1245,,phrog_35217,phrog,35217,,hypothetical protein
ADFW01000001.1||0_partial_1__00004,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_4,1428,,phrog_95,phrog,95,,integrase
ADFW01000001.1||0_partial_1__00005,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_5,633,,phrog_4,phrog,4,,transcriptional repressor
ADFW01000001.1||0_partial_1__00006,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_6,264,,phrog_8,phrog,8,,transcriptional regulator
ADFW01000001.1||0_partial_1__00007,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_7,126,,,,,,hypothetical protein
ADFW01000001.1||0_partial_1__00008,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_8,249,,phrog_10535,phrog,10535,,hypothetical protein
ADFW01000001.1||0_partial_1__00009,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_9,192,,phrog_13275,phrog,13275,,hypothetical protein
ADFW01000001.1||0_partial_1__00010,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_10,321,,phrog_13817,phrog,13817,,hypothetical protein
ADFW01000001.1||0_partial_1__00011,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_11,192,,phrog_8406,phrog,8406,,hypothetical protein
ADFW01000001.1||0_partial_1__00012,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_12,1533,,phrog_1499,phrog,1499,,hypothetical protein
ADFW01000001.1||0_partial_1__00013,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_13,198,,phrog_5189,phrog,5189,,hypothetical protein
ADFW01000001.1||0_partial_1__00014,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_14,909,,phrog_2780,phrog,2780,,RecT-like ssDNA annealing protein
ADFW01000001.1||0_partial_1__00015,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_15,759,,phrog_392,phrog,392,,metal-dependent hydrolase
ADFW01000001.1||0_partial_1__00016,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_16,399,,phrog_7503,phrog,7503,,hypothetical protein
ADFW01000001.1||0_partial_1__00017,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_17,825,,phrog_2514,phrog,2514,,DnaD-like helicase loader
ADFW01000001.1||0_partial_1__00018,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_18,1329,,phrog_19,phrog,19,,DnaB-like replicative helicase
ADFW01000001.1||0_partial_1__00019,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_19,324,,phrog_6868,phrog,6868,,hypothetical protein
ADFW01000001.1||0_partial_1__00020,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_20,537,,,,,,hypothetical protein
ADFW01000001.1||0_partial_1__00021,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_21,183,,phrog_7018,phrog,7018,,hypothetical protein
ADFW01000001.1||0_partial_1__00022,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_22,207,,,,,,hypothetical protein
ADFW01000001.1||0_partial_1__00023,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_23,384,,phrog_98,phrog,98,,hypothetical protein
ADFW01000001.1||0_partial_1__00024,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_24,378,,,,,,hypothetical protein
ADFW01000001.1||0_partial_1__00025,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_25,213,,phrog_6998,phrog,6998,,hypothetical protein
ADFW01000001.1||0_partial_1__00026,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_26,558,,phrog_159,phrog,159,,RuvC-like Holliday junction resolvase
ADFW01000001.1||0_partial_1__00027,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_27,255,,phrog_154,phrog,154,,replication initiation protein
ADFW01000001.1||0_partial_1__00028,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_28,471,,phrog_5494,phrog,5494,,hypothetical protein
ADFW01000001.1||0_partial_1__00029,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_29,444,,phrog_248,phrog,248,,transcriptional activator
ADFW01000001.1||0_partial_1__00030,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_30,204,,phrog_1454,phrog,1454,,hypothetical protein
ADFW01000001.1||0_partial_1__00031,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_31,423,,phrog_497,phrog,497,,toxin-antitoxin system HicB-like protein
ADFW01000001.1||0_partial_1__00032,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_32,216,,phrog_353,phrog,353,,toxin
ADFW01000001.1||0_partial_1__00033,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_33,723,,phrog_67,phrog,67,,DNA methyltransferase
ADFW01000001.1||0_partial_1__00034,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_34,513,,phrog_57,phrog,57,,terminase small subunit
ADFW01000001.1||0_partial_1__00035,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_35,1863,,phrog_15,phrog,15,,terminase large subunit
ADFW01000001.1||0_partial_1__00036,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_36,234,,phrog_118,phrog,118,,head-tail adaptor
ADFW01000001.1||0_partial_1__00037,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_37,1587,,phrog_21,phrog,21,,portal protein
ADFW01000001.1||0_partial_1__00038,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_38,1113,,phrog_94,phrog,94,,head maturation protease
ADFW01000001.1||0_partial_1__00039,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_39,381,,phrog_49,phrog,49,,head decoration
ADFW01000001.1||0_partial_1__00040,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_40,1026,,phrog_29,phrog,29,,major head protein
ADFW01000001.1||0_partial_1__00041,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_41,369,,,,,,hypothetical protein
ADFW01000001.1||0_partial_1__00042,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_42,318,,phrog_2551,phrog,2551,,minor tail protein
ADFW01000001.1||0_partial_1__00043,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_43,552,,phrog_27,phrog,27,,tail completion or Neck1 protein
ADFW01000001.1||0_partial_1__00044,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_44,468,,phrog_2581,phrog,2581,,virion structural protein
ADFW01000001.1||0_partial_1__00045,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_45,273,,phrog_4089,phrog,4089,,hypothetical protein
ADFW01000001.1||0_partial_1__00046,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_46,1443,,phrog_23,phrog,23,,tail sheath
ADFW01000001.1||0_partial_1__00047,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_47,519,,phrog_55,phrog,55,,head closure
ADFW01000001.1||0_partial_1__00048,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_48,345,,phrog_3140,phrog,3140,,tail assembly chaperone
ADFW01000001.1||0_partial_1__00049,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_49,2514,,phrog_991,phrog,991,,tail length tape measure protein
ADFW01000001.1||0_partial_1__00050,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_50,210,,phrog_46,phrog,46,,tail protein
ADFW01000001.1||0_partial_1__00051,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_51,1029,,phrog_52,phrog,52,,tail protein
ADFW01000001.1||0_partial_1__00052,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_52,378,,phrog_6142,phrog,6142,,baseplate assembly protein
ADFW01000001.1||0_partial_1__00053,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_53,402,,phrog_76,phrog,76,,tail protein
ADFW01000001.1||0_partial_1__00054,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_54,345,,phrog_43,phrog,43,,baseplate wedge subunit
ADFW01000001.1||0_partial_1__00055,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_55,1131,,phrog_6,phrog,6,,baseplate protein
ADFW01000001.1||0_partial_1__00056,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_56,564,,phrog_14404,phrog,14404,,baseplate protein
ADFW01000001.1||0_partial_1__00057,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_57,1236,,phrog_7037,phrog,7037,,tail fiber protein
ADFW01000001.1||0_partial_1__00058,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_58,333,,phrog_6220,phrog,6220,,hypothetical protein
ADFW01000001.1||0_partial_1__00059,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_59,162,,,,,,hypothetical protein
ADFW01000001.1||0_partial_1__00060,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_60,243,,phrog_2429,phrog,2429,,involved in bacteriocin production or immunity
ADFW01000001.1||0_partial_1__00061,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_61,675,,phrog_3088,phrog,3088,,amidase
ADFW01000001.1||0_partial_1__00062,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_62,240,,phrog_1299,phrog,1299,,holin
ADFW01000001.1||0_partial_1__00063,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_63,363,,,,,,hypothetical protein
ADFW01000001.1||0_partial_1__00064,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_64,651,,,,,,hypothetical protein
ADFW01000001.1||0_partial_1__00065,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_65,126,,,,,,hypothetical protein
ADFW01000001.1||0_partial_1__00066,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_66,1224,,phrog_2331,phrog,2331,,transposase
ADFW01000001.1||0_partial_1__00067,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_67,432,,,,,,hypothetical protein
ADFW01000001.1||0_partial_1__00068,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_68,351,,phrog_14350,phrog,14350,,hypothetical protein
ADFW01000001.1||0_partial_1__00069,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_69,279,,,,,,hypothetical protein
ADFW01000001.1||0_partial_1__00070,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_70,204,,phrog_38199,phrog,38199,,membrane associated protein
ADFW01000001.1||0_partial_1__00071,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_71,195,,phrog_6785,phrog,6785,,hypothetical protein
ADFW01000001.1||0_partial_1__00072,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_72,216,,phrog_23531,phrog,23531,,hypothetical protein
ADFW01000001.1||0_partial_1__00073,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_73,1152,,phrog_19072,phrog,19072,,hypothetical protein
ADFW01000001.1||0_partial_1__00074,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_74,372,,,,,,hypothetical protein
ADFW01000001.1||0_partial_1__00075,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_75,177,,,,,,hypothetical protein
ADFW01000001.1||0_partial_1__00076,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_76,1389,,,,,,hypothetical protein
ADFW01000001.1||0_partial_1__00077,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_77,195,,,,,,hypothetical protein
ADFW01000001.1||0_partial_1__00078,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_78,519,,,,,,hypothetical protein
ADFW01000001.1||0_partial_1__00079,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_79,201,,,,,,hypothetical protein
ADFW01000001.1||0_partial_1__00080,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_80,444,,,,,,hypothetical protein
ADFW01000001.1||0_partial_1__00081,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_81,372,,,,,,hypothetical protein
ADFW01000001.1||0_partial_1__00082,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_82,1512,,phrog_10912,phrog,10912,,kinase
ADFW01000001.1||0_partial_1__00083,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_83,261,,,,,,hypothetical protein
ADFW01000001.1||0_partial_1__00084,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_84,339,,,,,,hypothetical protein
ADFW01000001.1||0_partial_1__00085,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_85,312,,,,,,hypothetical protein
ADFW01000001.1||0_partial_1__00086,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_86,195,rhaR,,,,,HTH-type transcriptional activator RhaR
ADFW01000001.1||0_partial_1__00087,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_87,642,azoR2,1.7.1.17,1.7.1.17,,COG1182,FMN-dependent NADH-azoreductase 2
ADFW01000001.1||0_partial_1__00088,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_88,1011,drdI,5.3.1.-,5.3.1.-,,,5-deoxyribose 1-phosphate isomerase
ADFW01000001.1||0_partial_1__00089,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_89,1230,mtnK,2.7.1.100,2.7.1.100,,COG4857,Methylthioribose kinase
ADFW01000001.1||0_partial_1__00090,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_90,450,,phrog_3636,phrog,3636,,DNA binding protein
ADFW01000001.1||0_partial_1__00091,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_91,519,,,,,,hypothetical protein
ADFW01000001.1||0_partial_1__00092,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_92,834,,phrog_293,phrog,293,,ABC transporter
ADFW01000001.1||0_partial_1__00093,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_93,1296,,phrog_12033,phrog,12033,,hypothetical protein
ADFW01000001.1||0_partial_1__00094,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_94,1227,,phrog_12787,phrog,12787,,hypothetical protein
ADFW01000001.1||0_partial_1__00095,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_95,438,,phrog_8429,phrog,8429,,NifU-like Fe-S cluster assembly protein
ADFW01000001.1||0_partial_1__00096,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_96,1398,,phrog_12033,phrog,12033,,hypothetical protein
ADFW01000001.1||0_partial_1__00097,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_97,192,,,,,,hypothetical protein
ADFW01000001.1||0_partial_1__00098,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_98,348,,,,,,hypothetical protein
ADFW01000001.1||0_partial_1__00099,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_99,180,,,,,,hypothetical protein
ADFW01000001.1||0_partial_1__00100,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_100,735,,phrog_21353,phrog,21353,,hypothetical protein
ADFW01000001.1||0_partial_1__00101,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_101,603,,,,,,hypothetical protein
ADFW01000001.1||0_partial_1__00102,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_102,225,,,,,,hypothetical protein
ADFW01000001.1||0_partial_1__00103,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_103,402,,,,,,hypothetical protein
ADFW01000001.1||0_partial_1__00104,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_104,663,,phrog_1220,phrog,1220,,head protein
ADFW01000001.1||0_partial_1__00105,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_105,240,,phrog_2429,phrog,2429,,involved in bacteriocin production or immunity
ADFW01000001.1||0_partial_1__00106,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_106,639,,phrog_3088,phrog,3088,,amidase
ADFW01000001.1||0_partial_1__00107,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_107,243,,phrog_1299,phrog,1299,,holin
ADFW01000001.1||0_partial_1__00108,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_108,288,,,,,,hypothetical protein
ADFW01000001.1||0_partial_1__00109,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_109,729,,phrog_157,phrog,157,,transposase
ADFW01000001.1||0_partial_1__00110,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_110,303,,phrog_9989,phrog,9989,,hypothetical protein
ADFW01000001.1||0_partial_1__00111,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_111,996,,,,,,hypothetical protein
ADFW01000001.1||0_partial_1__00112,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_112,345,,,,,,hypothetical protein
ADFW01000001.1||0_partial_1__00113,ADFW01000001.1||0_partial_1,ADFW01000001.1||0_partial_1_113,369,,,,,,hypothetical protein
